Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),96.90,0.00,197.79,,,,,,97.18,,98.69,99.09,99.97,3.12
Active Decode Throughput Per User (tokens/sec/user),96.90,0.00,197.79,,,,,,97.18,,98.69,99.09,99.97,3.12
Active Prefill Throughput (tokens/sec),3238.68,3238.68,3238.68,,,,,,3238.68,,3238.68,3238.68,3238.68,0.00
Active Prefill Throughput Per User (tokens/sec/user),3238.68,3238.68,3238.68,,,,,,3238.68,,3238.68,3238.68,3238.68,0.00
Active Total Throughput (tokens/sec),2161.54,96.90,3238.68,,,,,,3238.68,,3238.68,3238.68,3238.68,1491.27
Credit-to-Start Latency (ms),1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,0.00
Decode Duration (ms),21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,21113.44,0.00
E2E Output Token Throughput (tokens/sec/user),33.24,33.24,33.24,33.24,33.24,33.24,33.24,33.24,33.24,33.24,33.24,33.24,33.24,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.34,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.47
Effective Decode Throughput (tokens/sec),33.22,0.00,197.79,,,,,,0.00,,97.78,98.47,99.42,46.03
Effective Decode Throughput Per User (tokens/sec/user),33.22,0.00,197.79,,,,,,0.00,,97.78,98.47,99.42,46.03
Effective Latency (CO-aware) (ms),61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,61586.24,0.00
Effective Prefill Concurrency,0.66,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.47
Effective Prefill Throughput (tokens/sec),2128.10,0.00,3238.68,,,,,,3238.68,,3238.68,3238.68,3238.68,1537.34
Effective Prefill Throughput Per User (tokens/sec/user),2128.10,0.00,3238.68,,,,,,3238.68,,3238.68,3238.68,3238.68,1537.34
Effective Total Throughput (tokens/sec),2161.32,0.00,3238.68,,,,,,3238.68,,3238.68,3238.68,3238.68,1491.36
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.00
HTTP Connection Overhead (ms),1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),395.34,395.34,395.34,395.34,395.34,395.34,395.34,395.34,395.34,395.34,395.34,395.34,395.34,0.00
HTTP Data Sent (KB),560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,0.00
HTTP DNS Lookup (ms),0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.00
HTTP Duration (excl. conn) (ms),61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,61584.57,0.00
HTTP Receiving (ms),61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,61580.83,0.00
HTTP Sending (ms),1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,0.00
HTTP Total Time (ms),61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,61586.11,0.00
HTTP Waiting (TTFB) (ms),2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,0.00
Input Sequence Length (tokens),131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,0.00
Inter Chunk Latency (ms),10.32,9.76,25.81,21113.44,10.00,10.09,10.13,10.21,10.29,10.38,10.47,10.55,10.80,0.45
Inter Token Latency (ms),10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,0.00
OSL Mismatch Diff % (%),-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.00
Output Sequence Length (tokens),2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,0.00
Output Token Count (tokens),2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,2047.00,0.00
Output Token Throughput Per User (tokens/sec/user),96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,0.00
Prefill Throughput Per User (tokens/sec/user),3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,3238.68,0.00
Request Latency (ms),61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,61584.25,0.00
Time to First Output Token (ms),40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,0.00
Time to First Token (ms),40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,40470.81,0.00
Time to Second Token (ms),25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,25.81,0.00
Tokens In Flight (tokens),131408.61,0.00,133119.00,,,,,,131072.00,,132520.00,132819.00,133059.00,1455.86

Metric,Value
Benchmark Duration (sec),61.58
Input Token Throughput (tokens/sec),2128.10
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),33.24
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),131072.00
Total Output Sequence Length (tokens),2047.00
Total Output Tokens (tokens),2047.00
Total Token Throughput (tokens/sec),2161.34
