Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),102.50,0.00,220438.60,,,,,,37.13,,39.56,40.87,43.16,1605.12
Active Decode Throughput Per User (tokens/sec/user),102.50,0.00,220438.60,,,,,,37.13,,39.56,40.87,43.16,1605.12
Active Prefill Throughput (tokens/sec),959.60,959.60,959.60,,,,,,959.60,,959.60,959.60,959.60,0.00
Active Prefill Throughput Per User (tokens/sec/user),959.60,959.60,959.60,,,,,,959.60,,959.60,959.60,959.60,0.00
Active Total Throughput (tokens/sec),643.31,102.50,959.60,,,,,,959.60,,959.60,959.60,959.60,413.59
Credit-to-Start Latency (ms),0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.00
Decode Duration (ms),19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,19970.72,0.00
E2E Output Token Throughput (tokens/sec/user),37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.37,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.48
Effective Decode Throughput (tokens/sec),37.82,0.00,220438.60,,,,,,0.00,,38.39,39.08,41.85,976.27
Effective Decode Throughput Per User (tokens/sec/user),37.82,0.00,220438.60,,,,,,0.00,,38.39,39.08,41.85,976.27
Effective Latency (CO-aware) (ms),54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,54120.79,0.00
Effective Prefill Concurrency,0.63,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.48
Effective Prefill Throughput (tokens/sec),605.43,0.00,959.60,,,,,,959.60,,959.60,959.60,959.60,463.06
Effective Prefill Throughput Per User (tokens/sec/user),605.43,0.00,959.60,,,,,,959.60,,959.60,959.60,959.60,463.06
Effective Total Throughput (tokens/sec),643.25,0.00,959.60,,,,,,959.60,,959.60,959.60,959.60,413.62
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,1975.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.00
HTTP Connection Overhead (ms),1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),500.31,500.31,500.31,500.31,500.31,500.31,500.31,500.31,500.31,500.31,500.31,500.31,500.31,0.00
HTTP Data Sent (KB),140.70,140.70,140.70,140.70,140.70,140.70,140.70,140.70,140.70,140.70,140.70,140.70,140.70,0.00
HTTP DNS Lookup (ms),0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00
HTTP Duration (excl. conn) (ms),54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,54119.88,0.00
