Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),60.77,0.00,335646.55,,,,,,23.34,,32.53,32.95,33.63,1193.81
Active Decode Throughput Per User (tokens/sec/user),60.77,0.00,335646.55,,,,,,23.34,,32.53,32.95,33.63,1193.81
Active Prefill Throughput (tokens/sec),1047.96,874.10,1251.32,,,,,,1087.55,,1251.32,1251.32,1251.32,155.33
Active Prefill Throughput Per User (tokens/sec/user),1047.96,874.10,1251.32,,,,,,1087.55,,1251.32,1251.32,1251.32,155.33
Active Total Throughput (tokens/sec),929.81,53.13,1251.32,,,,,,1087.55,,1251.32,1251.32,1251.32,352.03
Credit-to-Start Latency (ms),3.68,2.76,4.34,11.03,2.79,2.88,3.00,3.34,3.93,4.13,4.26,4.30,4.33,0.67
Decode Duration (ms),33674.80,30997.26,38520.48,101024.39,31007.45,31048.20,31099.14,31251.96,31506.65,35013.56,37117.71,37819.10,38380.20,3432.72
E2E Output Token Throughput (tokens/sec/user),7.42,6.10,8.57,22.27,6.13,6.25,6.40,6.85,7.59,8.08,8.37,8.47,8.55,1.01
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),7.27,0.00,335646.55,,,,,,0.00,,22.46,23.61,32.66,413.48
Effective Decode Throughput Per User (tokens/sec/user),7.27,0.00,335646.55,,,,,,0.00,,22.46,23.61,32.66,413.48
Effective Latency (CO-aware) (ms),281386.98,238962.12,335503.45,844160.94,239576.78,242035.44,245108.77,254328.75,269695.38,302599.41,322341.84,328922.64,334187.29,40270.57
Effective Prefill Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),922.51,0.00,1251.32,,,,,,1087.55,,1251.32,1251.32,1251.32,370.10
Effective Prefill Throughput Per User (tokens/sec/user),922.51,0.00,1251.32,,,,,,1087.55,,1251.32,1251.32,1251.32,370.10
Effective Total Throughput (tokens/sec),929.78,0.00,1251.32,,,,,,1087.55,,1251.32,1251.32,1251.32,352.06
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1758.33,1393.00,1957.00,5275.00,1403.64,1446.20,1499.40,1659.00,1925.00,1941.00,1950.60,1953.80,1956.36,258.66
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.33,0.27,0.38,1.00,0.27,0.27,0.28,0.31,0.35,0.37,0.37,0.38,0.38,0.05
HTTP Connection Overhead (ms),0.43,0.27,0.52,1.28,0.27,0.29,0.31,0.38,0.50,0.51,0.51,0.51,0.52,0.11
