Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),115.44,0.00,265.04,,,,,,115.52,,117.45,117.89,125.09,4.40
Active Decode Throughput Per User (tokens/sec/user),115.44,0.00,265.04,,,,,,115.52,,117.45,117.89,125.09,4.40
Active Prefill Throughput (tokens/sec),7937.77,7937.77,7937.77,,,,,,7937.77,,7937.77,7937.77,7937.77,0.00
Active Prefill Throughput Per User (tokens/sec/user),7937.77,7937.77,7937.77,,,,,,7937.77,,7937.77,7937.77,7937.77,0.00
Active Total Throughput (tokens/sec),6284.12,115.44,7937.77,,,,,,7937.77,,7937.77,7937.77,7937.77,3193.88
Credit-to-Start Latency (ms),0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.00
Decode Duration (ms),4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,4426.60,0.00
E2E Output Token Throughput (tokens/sec/user),24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.21,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.41
Effective Decode Throughput (tokens/sec),24.40,0.00,265.04,,,,,,0.00,,115.65,116.67,117.89,47.18
Effective Decode Throughput Per User (tokens/sec/user),24.40,0.00,265.04,,,,,,0.00,,115.65,116.67,117.89,47.18
Effective Latency (CO-aware) (ms),20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,20940.26,0.00
Effective Prefill Concurrency,0.79,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.41
Effective Prefill Throughput (tokens/sec),6259.00,0.00,7937.77,,,,,,7937.77,,7937.77,7937.77,7937.77,3241.52
Effective Prefill Throughput Per User (tokens/sec/user),6259.00,0.00,7937.77,,,,,,7937.77,,7937.77,7937.77,7937.77,3241.52
Effective Total Throughput (tokens/sec),6283.40,0.00,7937.77,,,,,,7937.77,,7937.77,7937.77,7937.77,3194.40
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,268.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00,268.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,0.00
HTTP Data Sent (KB),560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,0.00
