Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),129.01,0.00,265.04,,,,,,128.92,,131.72,132.63,150.95,4.50
Active Decode Throughput Per User (tokens/sec/user),129.01,0.00,265.04,,,,,,128.92,,131.72,132.63,150.95,4.50
Active Prefill Throughput (tokens/sec),8160.12,8160.12,8160.12,,,,,,8160.12,,8160.12,8160.12,8160.12,0.00
Active Prefill Throughput Per User (tokens/sec/user),8160.12,8160.12,8160.12,,,,,,8160.12,,8160.12,8160.12,8160.12,0.00
Active Total Throughput (tokens/sec),4172.20,129.01,8160.12,,,,,,8160.12,,8160.12,8160.12,8160.12,4015.46
Credit-to-Start Latency (ms),0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.00
Decode Duration (ms),3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,3960.97,0.00
E2E Output Token Throughput (tokens/sec/user),64.19,64.19,64.19,64.19,64.19,64.19,64.19,64.19,64.19,64.19,64.19,64.19,64.19,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.50,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.50
Effective Decode Throughput (tokens/sec),64.04,0.00,265.04,,,,,,0.00,,130.65,131.72,133.87,64.58
Effective Decode Throughput Per User (tokens/sec/user),64.04,0.00,265.04,,,,,,0.00,,130.65,131.72,133.87,64.58
Effective Latency (CO-aware) (ms),7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,7977.44,0.00
Effective Prefill Concurrency,0.50,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.50
Effective Prefill Throughput (tokens/sec),4106.95,0.00,8160.12,,,,,,8160.12,,8160.12,8160.12,8160.12,4079.97
Effective Prefill Throughput Per User (tokens/sec/user),4106.95,0.00,8160.12,,,,,,8160.12,,8160.12,8160.12,8160.12,4079.97
Effective Total Throughput (tokens/sec),4171.00,0.00,8160.12,,,,,,8160.12,,8160.12,8160.12,8160.12,4015.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
