Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),204.22,0.00,422.63,,,,,,204.03,,209.02,210.75,217.25,5.96
Active Decode Throughput Per User (tokens/sec/user),204.22,0.00,422.63,,,,,,204.03,,209.02,210.75,217.25,5.96
Active Prefill Throughput (tokens/sec),7902.37,7902.37,7902.37,,,,,,7902.37,,7902.37,7902.37,7902.37,0.00
Active Prefill Throughput Per User (tokens/sec/user),7902.37,7902.37,7902.37,,,,,,7902.37,,7902.37,7902.37,7902.37,0.00
Active Total Throughput (tokens/sec),5002.58,204.22,7902.37,,,,,,7902.37,,7902.37,7902.37,7902.37,3730.18
Credit-to-Start Latency (ms),1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,0.00
Decode Duration (ms),10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,10023.72,0.00
E2E Output Token Throughput (tokens/sec/user),76.96,76.96,76.96,76.96,76.96,76.96,76.96,76.96,76.96,76.96,76.96,76.96,76.96,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.38,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.48
Effective Decode Throughput (tokens/sec),76.91,0.00,422.63,,,,,,0.00,,206.33,208.15,212.27,99.02
Effective Decode Throughput Per User (tokens/sec/user),76.91,0.00,422.63,,,,,,0.00,,206.33,208.15,212.27,99.02
Effective Latency (CO-aware) (ms),26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,26611.80,0.00
Effective Prefill Concurrency,0.62,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.48
Effective Prefill Throughput (tokens/sec),4924.94,0.00,7902.37,,,,,,7902.37,,7902.37,7902.37,7902.37,3829.32
Effective Prefill Throughput Per User (tokens/sec/user),4924.94,0.00,7902.37,,,,,,7902.37,,7902.37,7902.37,7902.37,3829.32
Effective Total Throughput (tokens/sec),5001.85,0.00,7902.37,,,,,,7902.37,,7902.37,7902.37,7902.37,3730.40
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,594.00,594.00,594.00,594.00,594.00,594.00,594.00,594.00,594.00,594.00,594.00,594.00,594.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.00
HTTP Connection Overhead (ms),0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,0.00
HTTP Data Sent (KB),560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,560.59,0.00
HTTP DNS Lookup (ms),0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.00
HTTP Duration (excl. conn) (ms),26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,26610.17,0.00
HTTP Receiving (ms),10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,10023.73,0.00
HTTP Sending (ms),0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00
HTTP Total Time (ms),26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,26610.85,0.00
HTTP Waiting (TTFB) (ms),16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,16585.79,0.00
Input Sequence Length (tokens),131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,131073.00,0.00
Inter Chunk Latency (ms),16.90,13.49,21.30,10023.72,15.87,16.37,16.51,16.71,16.91,17.08,17.27,17.37,18.28,0.49
Inter Token Latency (ms),4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Output Token Count (tokens),2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Output Token Throughput Per User (tokens/sec/user),204.22,204.22,204.22,204.22,204.22,204.22,204.22,204.22,204.22,204.22,204.22,204.22,204.22,0.00
Prefill Throughput Per User (tokens/sec/user),7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,7902.37,0.00
Request Latency (ms),26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,26610.27,0.00
Time to First Output Token (ms),16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,0.00
Time to First Token (ms),16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,16586.55,0.00
Time to Second Token (ms),15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,0.00
Tokens In Flight (tokens),131441.41,0.00,133121.00,,,,,,131073.00,,132582.50,132851.75,133065.77,1701.49

Metric,Value
Benchmark Duration (sec),26.61
Input Token Throughput (tokens/sec),4924.94
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),76.95
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),131073.00
Total Output Sequence Length (tokens),2048.00
Total Output Tokens (tokens),2048.00
Total Token Throughput (tokens/sec),5001.89
