Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),87.48,0.00,189.45,,,,,,91.14,,94.97,96.21,97.83,13.42
Active Decode Throughput Per User (tokens/sec/user),87.48,0.00,189.45,,,,,,91.14,,94.97,96.21,97.83,13.42
Active Prefill Throughput (tokens/sec),3252.16,3252.16,3252.16,,,,,,3252.16,,3252.16,3252.16,3252.16,0.00
Active Prefill Throughput Per User (tokens/sec/user),3252.16,3252.16,3252.16,,,,,,3252.16,,3252.16,3252.16,3252.16,0.00
Active Total Throughput (tokens/sec),3196.48,87.48,3252.16,,,,,,3252.16,,3252.16,3252.16,3252.16,416.10
Credit-to-Start Latency (ms),1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,0.00
Decode Duration (ms),1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,1439.79,0.00
E2E Output Token Throughput (tokens/sec/user),1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.13
Effective Decode Throughput (tokens/sec),1.54,0.00,189.45,,,,,,0.00,,0.00,0.00,90.14,11.64
Effective Decode Throughput Per User (tokens/sec/user),1.54,0.00,189.45,,,,,,0.00,,0.00,0.00,90.14,11.64
Effective Latency (CO-aware) (ms),81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,81851.51,0.00
Effective Prefill Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.13
Effective Prefill Throughput (tokens/sec),3194.82,0.00,3252.16,,,,,,3252.16,,3252.16,3252.16,3252.16,428.04
Effective Prefill Throughput Per User (tokens/sec/user),3194.82,0.00,3252.16,,,,,,3252.16,,3252.16,3252.16,3252.16,428.04
Effective Total Throughput (tokens/sec),3196.35,0.00,3252.16,,,,,,3252.16,,3252.16,3252.16,3252.16,416.55
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,0.00
HTTP Data Sent (KB),1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,0.00
HTTP Receiving (ms),81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,81845.55,0.00
HTTP Sending (ms),0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.00
HTTP Total Time (ms),81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,81849.49,0.00
HTTP Waiting (TTFB) (ms),3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,0.00
Input Sequence Length (tokens),261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,0.00
Inter Chunk Latency (ms),11.43,10.15,35.91,1439.79,10.23,10.40,10.53,10.73,10.95,11.34,11.61,11.99,22.77,2.70
Inter Token Latency (ms),11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,0.00
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Count (tokens),127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),87.51,87.51,87.51,87.51,87.51,87.51,87.51,87.51,87.51,87.51,87.51,87.51,87.51,0.00
Prefill Throughput Per User (tokens/sec/user),3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,3252.16,0.00
Request Latency (ms),81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,81849.01,0.00
Time to First Output Token (ms),80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,0.00
Time to First Token (ms),80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,80409.22,0.00
Time to Second Token (ms),35.91,35.91,35.91,35.91,35.91,35.91,35.91,35.91,35.91,35.91,35.91,35.91,35.91,0.00
Tokens In Flight (tokens),261495.21,0.00,261631.00,,,,,,261504.00,,261504.00,261504.00,261557.00,1607.17

Metric,Value
Benchmark Duration (sec),81.85
Input Token Throughput (tokens/sec),3194.82
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1.55
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),261504.00
Total Output Sequence Length (tokens),127.00
Total Output Tokens (tokens),127.00
Total Token Throughput (tokens/sec),3196.37
