Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),68.42,0.00,7027.41,,,,,,68.01,,87.36,89.13,93.74,62.92
Active Decode Throughput Per User (tokens/sec/user),68.42,0.00,7027.41,,,,,,68.01,,87.36,89.13,93.74,62.92
Active Prefill Throughput (tokens/sec),2110.89,2110.89,2110.89,,,,,,2110.89,,2110.89,2110.89,2110.89,0.00
Active Prefill Throughput Per User (tokens/sec/user),2110.89,2110.89,2110.89,,,,,,2110.89,,2110.89,2110.89,2110.89,0.00
Active Total Throughput (tokens/sec),2080.97,68.42,2110.89,,,,,,2110.89,,2110.89,2110.89,2110.89,245.38
Credit-to-Start Latency (ms),2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,0.00
Decode Duration (ms),1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,1841.16,0.00
E2E Output Token Throughput (tokens/sec/user),1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.12
Effective Decode Throughput (tokens/sec),1.00,0.00,7027.41,,,,,,0.00,,0.00,0.00,58.24,11.21
Effective Decode Throughput Per User (tokens/sec/user),1.00,0.00,7027.41,,,,,,0.00,,0.00,0.00,58.24,11.21
Effective Latency (CO-aware) (ms),125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,125726.18,0.00
Effective Prefill Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.12
Effective Prefill Throughput (tokens/sec),2079.91,0.00,2110.89,,,,,,2110.89,,2110.89,2110.89,2110.89,253.84
Effective Prefill Throughput Per User (tokens/sec/user),2079.91,0.00,2110.89,,,,,,2110.89,,2110.89,2110.89,2110.89,253.84
Effective Total Throughput (tokens/sec),2080.91,0.00,2110.89,,,,,,2110.89,,2110.89,2110.89,2110.89,245.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.00
HTTP Connection Overhead (ms),1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,0.00
HTTP Data Sent (KB),1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,1113.22,0.00
HTTP DNS Lookup (ms),0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00
HTTP Duration (excl. conn) (ms),125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,125723.87,0.00
HTTP Receiving (ms),125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,125714.48,0.00
HTTP Sending (ms),1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0.00
HTTP Total Time (ms),125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,125725.48,0.00
HTTP Waiting (TTFB) (ms),8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,0.00
Input Sequence Length (tokens),261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,261502.00,0.00
Inter Chunk Latency (ms),14.61,0.14,24.96,1841.16,10.46,11.19,11.30,11.90,13.89,16.81,19.87,20.90,24.60,3.59
Inter Token Latency (ms),14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,0.00
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Count (tokens),127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),68.44,68.44,68.44,68.44,68.44,68.44,68.44,68.44,68.44,68.44,68.44,68.44,68.44,0.00
Prefill Throughput Per User (tokens/sec/user),2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,2110.89,0.00
Request Latency (ms),125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,125723.60,0.00
Time to First Output Token (ms),123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,0.00
Time to First Token (ms),123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,123882.44,0.00
Time to Second Token (ms),0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00
Tokens In Flight (tokens),261495.20,0.00,261629.00,,,,,,261502.00,,261502.00,261502.00,261535.00,1413.64

Metric,Value
Benchmark Duration (sec),125.72
Input Token Throughput (tokens/sec),2079.91
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1.01
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),261502.00
Total Output Sequence Length (tokens),127.00
Total Output Tokens (tokens),127.00
Total Token Throughput (tokens/sec),2080.92
