Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),20.31,0.00,41.34,,,,,,20.46,,20.69,20.71,20.77,0.87
Active Decode Throughput Per User (tokens/sec/user),20.31,0.00,41.34,,,,,,20.46,,20.69,20.71,20.77,0.87
Active Prefill Throughput (tokens/sec),1011.85,1011.85,1011.85,,,,,,1011.85,,1011.85,1011.85,1011.85,0.00
Active Prefill Throughput Per User (tokens/sec/user),1011.85,1011.85,1011.85,,,,,,1011.85,,1011.85,1011.85,1011.85,0.00
Active Total Throughput (tokens/sec),988.42,20.31,1011.85,,,,,,1011.85,,1011.85,1011.85,1011.85,150.61
Credit-to-Start Latency (ms),11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,0.00
Decode Duration (ms),6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,6250.31,0.00
E2E Output Token Throughput (tokens/sec/user),0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.15
Effective Decode Throughput (tokens/sec),0.48,0.00,41.34,,,,,,0.00,,0.00,0.00,20.49,3.09
Effective Decode Throughput Per User (tokens/sec/user),0.48,0.00,41.34,,,,,,0.00,,0.00,0.00,20.49,3.09
Effective Latency (CO-aware) (ms),264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,264708.32,0.00
Effective Prefill Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.15
Effective Prefill Throughput (tokens/sec),987.89,0.00,1011.85,,,,,,1011.85,,1011.85,1011.85,1011.85,153.84
Effective Prefill Throughput Per User (tokens/sec/user),987.89,0.00,1011.85,,,,,,1011.85,,1011.85,1011.85,1011.85,153.84
Effective Total Throughput (tokens/sec),988.37,0.00,1011.85,,,,,,1011.85,,1011.85,1011.85,1011.85,150.76
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,129.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.00
HTTP Connection Overhead (ms),0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,0.00
HTTP Data Sent (KB),1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,264696.89,0.00
HTTP Receiving (ms),6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,6254.56,0.00
HTTP Sending (ms),0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.00
