Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),58.89,0.00,177407.86,,,,,,24.10,,24.78,25.13,35.07,1450.79
Active Decode Throughput Per User (tokens/sec/user),58.89,0.00,177407.86,,,,,,24.10,,24.78,25.13,35.07,1450.79
Active Prefill Throughput (tokens/sec),1254.26,1254.26,1254.26,,,,,,1254.26,,1254.26,1254.26,1254.26,0.00
Active Prefill Throughput Per User (tokens/sec/user),1254.26,1254.26,1254.26,,,,,,1254.26,,1254.26,1254.26,1254.26,0.00
Active Total Throughput (tokens/sec),1242.02,58.87,1254.26,,,,,,1254.26,,1254.26,1254.26,1254.26,120.35
Credit-to-Start Latency (ms),1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,0.00
Decode Duration (ms),2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,2153.16,0.00
E2E Output Token Throughput (tokens/sec/user),0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.00
Effective Decode Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.10
Effective Decode Throughput (tokens/sec),0.60,0.00,177407.86,,,,,,0.00,,0.00,0.00,8.71,146.94
Effective Decode Throughput Per User (tokens/sec/user),0.60,0.00,177407.86,,,,,,0.00,,0.00,0.00,8.71,146.94
Effective Latency (CO-aware) (ms),210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,210651.17,0.00
Effective Prefill Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.10
Effective Prefill Throughput (tokens/sec),1241.40,0.00,1254.26,,,,,,1254.26,,1254.26,1254.26,1254.26,126.37
Effective Prefill Throughput Per User (tokens/sec/user),1241.40,0.00,1254.26,,,,,,1254.26,,1254.26,1254.26,1254.26,126.37
Effective Total Throughput (tokens/sec),1242.00,0.00,1254.26,,,,,,1254.26,,1254.26,1254.26,1254.26,120.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.00
HTTP Connection Overhead (ms),1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.48,32.48,32.48,32.48,32.48,32.48,32.48,32.48,32.48,32.48,32.48,32.48,32.48,0.00
HTTP Data Sent (KB),1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,0.00
HTTP DNS Lookup (ms),0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.00
HTTP Duration (excl. conn) (ms),210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,210649.37,0.00
HTTP Receiving (ms),2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,2157.31,0.00
HTTP Sending (ms),1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,0.00
HTTP Total Time (ms),210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,210650.94,0.00
HTTP Waiting (TTFB) (ms),208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,208490.92,0.00
Input Sequence Length (tokens),261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,0.00
Inter Chunk Latency (ms),16.95,0.00,129.05,2153.16,0.00,0.00,0.00,0.02,0.02,45.96,47.47,47.84,64.72,24.48
Inter Token Latency (ms),16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,58.98,0.00
Prefill Throughput Per User (tokens/sec/user),1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,1254.26,0.00
Request Latency (ms),210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,210645.34,0.00
Time to First Output Token (ms),208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,208492.18,0.00
