Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),124.45,0.00,251.92,,,,,,124.72,,126.53,127.59,150.16,4.66
Active Decode Throughput Per User (tokens/sec/user),124.45,0.00,251.92,,,,,,124.72,,126.53,127.59,150.16,4.66
Active Prefill Throughput (tokens/sec),7485.05,7485.05,7485.05,,,,,,7485.05,,7485.05,7485.05,7485.05,0.00
Active Prefill Throughput Per User (tokens/sec/user),7485.05,7485.05,7485.05,,,,,,7485.05,,7485.05,7485.05,7485.05,0.00
Active Total Throughput (tokens/sec),7254.10,124.45,7485.05,,,,,,7485.05,,7485.05,7485.05,7485.05,1283.20
Credit-to-Start Latency (ms),1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,0.00
Decode Duration (ms),1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,0.00
E2E Output Token Throughput (tokens/sec/user),3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Decode Throughput (tokens/sec),3.90,0.00,251.92,,,,,,0.00,,0.00,0.00,125.15,21.71
Effective Decode Throughput Per User (tokens/sec/user),3.90,0.00,251.92,,,,,,0.00,,0.00,0.00,125.15,21.71
Effective Latency (CO-aware) (ms),32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,32524.96,0.00
Effective Prefill Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),7249.62,0.00,7485.05,,,,,,7485.05,,7485.05,7485.05,7485.05,1306.44
Effective Prefill Throughput Per User (tokens/sec/user),7249.62,0.00,7485.05,,,,,,7485.05,,7485.05,7485.05,7485.05,1306.44
Effective Total Throughput (tokens/sec),7253.52,0.00,7485.05,,,,,,7485.05,,7485.05,7485.05,7485.05,1284.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,61.00,61.00,61.00,61.00,61.00,61.00,61.00,61.00,61.00,61.00,61.00,61.00,61.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),16.62,16.62,16.62,16.62,16.62,16.62,16.62,16.62,16.62,16.62,16.62,16.62,16.62,0.00
HTTP Data Sent (KB),1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,0.00
HTTP Receiving (ms),1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,1020.48,0.00
HTTP Sending (ms),0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00
HTTP Total Time (ms),32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,32523.36,0.00
HTTP Waiting (TTFB) (ms),31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,31502.74,0.00
Input Sequence Length (tokens),235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,235801.00,0.00
Inter Chunk Latency (ms),17.01,14.10,18.92,1020.48,14.86,16.57,16.72,16.86,16.97,17.15,17.47,17.82,18.84,0.62
Inter Token Latency (ms),8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
