Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),137.67,0.00,276.68,,,,,,137.62,,140.33,140.44,173.67,5.17
Active Decode Throughput Per User (tokens/sec/user),137.67,0.00,276.68,,,,,,137.62,,140.33,140.44,173.67,5.17
Active Prefill Throughput (tokens/sec),7542.78,7542.78,7542.78,,,,,,7542.78,,7542.78,7542.78,7542.78,0.00
Active Prefill Throughput Per User (tokens/sec/user),7542.78,7542.78,7542.78,,,,,,7542.78,,7542.78,7542.78,7542.78,0.00
Active Total Throughput (tokens/sec),7330.53,137.67,7542.78,,,,,,7542.78,,7542.78,7542.78,7542.78,1235.59
Credit-to-Start Latency (ms),1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,0.00
Decode Duration (ms),922.49,922.49,922.49,922.49,922.49,922.49,922.49,922.49,922.49,922.49,922.49,922.49,922.49,0.00
E2E Output Token Throughput (tokens/sec/user),3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Decode Throughput (tokens/sec),3.95,0.00,276.68,,,,,,0.00,,0.00,0.00,138.53,22.99
Effective Decode Throughput Per User (tokens/sec/user),3.95,0.00,276.68,,,,,,0.00,,0.00,0.00,138.53,22.99
Effective Latency (CO-aware) (ms),32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,32186.32,0.00
Effective Prefill Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),7325.80,0.00,7542.78,,,,,,7542.78,,7542.78,7542.78,7542.78,1260.76
Effective Prefill Throughput Per User (tokens/sec/user),7325.80,0.00,7542.78,,,,,,7542.78,,7542.78,7542.78,7542.78,1260.76
Effective Total Throughput (tokens/sec),7329.75,0.00,7542.78,,,,,,7542.78,,7542.78,7542.78,7542.78,1237.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.00
HTTP Connection Overhead (ms),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),15.30,15.30,15.30,15.30,15.30,15.30,15.30,15.30,15.30,15.30,15.30,15.30,15.30,0.00
HTTP Data Sent (KB),1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,1004.42,0.00
HTTP DNS Lookup (ms),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00
HTTP Duration (excl. conn) (ms),32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,32184.35,0.00
HTTP Receiving (ms),922.50,922.50,922.50,922.50,922.50,922.50,922.50,922.50,922.50,922.50,922.50,922.50,922.50,0.00
HTTP Sending (ms),0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.00
HTTP Total Time (ms),32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,32185.13,0.00
HTTP Waiting (TTFB) (ms),31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,31261.13,0.00
Input Sequence Length (tokens),235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,235802.00,0.00
Inter Chunk Latency (ms),16.77,13.30,18.28,922.49,14.80,16.43,16.46,16.61,16.77,17.02,17.21,17.39,17.87,0.58
Inter Token Latency (ms),7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,137.67,0.00
Prefill Throughput Per User (tokens/sec/user),7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,7542.78,0.00
Request Latency (ms),32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,32184.45,0.00
Time to First Output Token (ms),31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,0.00
Time to First Token (ms),31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,31261.95,0.00
Time to Second Token (ms),13.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,0.00
Tokens In Flight (tokens),235778.78,0.00,235930.00,,,,,,235802.00,,235802.00,235802.00,235883.82,2429.95

Metric,Value
Benchmark Duration (sec),32.18
Input Token Throughput (tokens/sec),7325.80
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),3.98
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),235802.00
Total Output Sequence Length (tokens),128.00
Total Output Tokens (tokens),128.00
Total Token Throughput (tokens/sec),7329.78
