Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),126.91,0.00,282.89,,,,,,127.11,,129.13,129.78,155.49,6.54
Active Decode Throughput Per User (tokens/sec/user),126.91,0.00,282.89,,,,,,127.11,,129.13,129.78,155.49,6.54
Active Prefill Throughput (tokens/sec),7386.86,7386.86,7386.86,,,,,,7386.86,,7386.86,7386.86,7386.86,0.00
Active Prefill Throughput Per User (tokens/sec/user),7386.86,7386.86,7386.86,,,,,,7386.86,,7386.86,7386.86,7386.86,0.00
Active Total Throughput (tokens/sec),7187.29,126.91,7386.86,,,,,,7386.86,,7386.86,7386.86,7386.86,1187.04
Credit-to-Start Latency (ms),1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,0.00
Decode Duration (ms),1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,0.00
E2E Output Token Throughput (tokens/sec/user),3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.16
Effective Decode Throughput (tokens/sec),3.49,0.00,282.89,,,,,,0.00,,0.00,0.00,127.92,20.78
Effective Decode Throughput Per User (tokens/sec/user),3.49,0.00,282.89,,,,,,0.00,,0.00,0.00,127.92,20.78
Effective Latency (CO-aware) (ms),36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,36403.87,0.00
Effective Prefill Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.16
Effective Prefill Throughput (tokens/sec),7183.22,0.00,7386.86,,,,,,7386.86,,7386.86,7386.86,7386.86,1209.46
Effective Prefill Throughput Per User (tokens/sec/user),7183.22,0.00,7386.86,,,,,,7386.86,,7386.86,7386.86,7386.86,1209.46
Effective Total Throughput (tokens/sec),7186.71,0.00,7386.86,,,,,,7386.86,,7386.86,7386.86,7386.86,1188.74
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),16.34,16.34,16.34,16.34,16.34,16.34,16.34,16.34,16.34,16.34,16.34,16.34,16.34,0.00
HTTP Data Sent (KB),1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,36401.99,0.00
HTTP Receiving (ms),1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,1000.67,0.00
HTTP Sending (ms),0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.00
