Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),132.85,0.00,623.82,,,,,,131.62,,133.93,135.60,177.22,31.13
Active Decode Throughput Per User (tokens/sec/user),132.85,0.00,623.82,,,,,,131.62,,133.93,135.60,177.22,31.13
Active Prefill Throughput (tokens/sec),7114.15,7114.15,7114.15,,,,,,7114.15,,7114.15,7114.15,7114.15,0.00
Active Prefill Throughput Per User (tokens/sec/user),7114.15,7114.15,7114.15,,,,,,7114.15,,7114.15,7114.15,7114.15,0.00
Active Total Throughput (tokens/sec),6937.19,132.85,7114.15,,,,,,7114.15,,7114.15,7114.15,7114.15,1097.32
Credit-to-Start Latency (ms),2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,0.00
Decode Duration (ms),955.98,955.98,955.98,955.98,955.98,955.98,955.98,955.98,955.98,955.98,955.98,955.98,955.98,0.00
E2E Output Token Throughput (tokens/sec/user),3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.16
Effective Decode Throughput (tokens/sec),3.37,0.00,623.82,,,,,,0.00,,0.00,0.00,132.56,21.46
Effective Decode Throughput Per User (tokens/sec/user),3.37,0.00,623.82,,,,,,0.00,,0.00,0.00,132.56,21.46
Effective Latency (CO-aware) (ms),37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,37716.67,0.00
Effective Prefill Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.16
Effective Prefill Throughput (tokens/sec),6933.16,0.00,7114.15,,,,,,7114.15,,7114.15,7114.15,7114.15,1120.19
Effective Prefill Throughput Per User (tokens/sec/user),6933.16,0.00,7114.15,,,,,,7114.15,,7114.15,7114.15,7114.15,1120.19
Effective Total Throughput (tokens/sec),6936.53,0.00,7114.15,,,,,,7114.15,,7114.15,7114.15,7114.15,1099.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.00
HTTP Connection Overhead (ms),0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),15.80,15.80,15.80,15.80,15.80,15.80,15.80,15.80,15.80,15.80,15.80,15.80,15.80,0.00
HTTP Data Sent (KB),1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,1113.24,0.00
HTTP DNS Lookup (ms),0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.00
HTTP Duration (excl. conn) (ms),37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,37714.32,0.00
HTTP Receiving (ms),955.99,955.99,955.99,955.99,955.99,955.99,955.99,955.99,955.99,955.99,955.99,955.99,955.99,0.00
HTTP Sending (ms),0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.00
HTTP Total Time (ms),37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,37715.22,0.00
HTTP Waiting (TTFB) (ms),36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,36757.42,0.00
Input Sequence Length (tokens),261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,261505.00,0.00
Inter Chunk Latency (ms),16.77,3.57,21.27,955.98,8.61,16.32,16.61,16.75,16.91,17.06,17.35,17.83,21.23,2.05
Inter Token Latency (ms),7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,0.00
Prefill Throughput Per User (tokens/sec/user),7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,7114.15,0.00
Request Latency (ms),37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,37714.43,0.00
Time to First Output Token (ms),36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,0.00
Time to First Token (ms),36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,36758.44,0.00
Time to Second Token (ms),3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0.00
Tokens In Flight (tokens),261481.77,0.00,261633.00,,,,,,261505.00,,261505.00,261505.00,261581.75,2549.40

Metric,Value
Benchmark Duration (sec),37.71
Input Token Throughput (tokens/sec),6933.16
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),3.39
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),261505.00
Total Output Sequence Length (tokens),128.00
Total Output Tokens (tokens),128.00
Total Token Throughput (tokens/sec),6936.55
