Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),99.75,0.00,213.23,,,,,,105.12,,105.70,105.87,106.25,13.13
Active Decode Throughput Per User (tokens/sec/user),99.75,0.00,213.23,,,,,,105.12,,105.70,105.87,106.25,13.13
Active Prefill Throughput (tokens/sec),1889.68,1881.61,1895.81,,,,,,1890.26,,1895.81,1895.81,1895.81,5.13
Active Prefill Throughput Per User (tokens/sec/user),1889.68,1881.61,1895.81,,,,,,1890.26,,1895.81,1895.81,1895.81,5.13
Active Total Throughput (tokens/sec),635.18,97.66,1895.81,,,,,,100.80,,1891.08,1895.81,1895.81,819.57
Credit-to-Start Latency (ms),0.71,0.62,0.77,2.85,0.62,0.64,0.65,0.69,0.73,0.75,0.76,0.77,0.77,0.06
Decode Duration (ms),2556.19,2519.38,2610.84,10224.75,2519.69,2520.94,2522.50,2527.19,2547.27,2576.27,2597.01,2603.92,2609.45,35.75
E2E Output Token Throughput (tokens/sec/user),70.20,69.22,70.90,280.78,69.24,69.34,69.47,69.84,70.33,70.69,70.81,70.86,70.89,0.64
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.70,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.46
Effective Decode Throughput (tokens/sec),69.88,0.00,213.23,,,,,,100.16,,105.59,105.78,106.12,46.99
Effective Decode Throughput Per User (tokens/sec/user),69.88,0.00,213.23,,,,,,100.16,,105.59,105.78,106.12,46.99
Effective Latency (CO-aware) (ms),3648.09,3611.67,3699.27,14592.35,3612.09,3613.81,3615.95,3622.36,3640.71,3666.43,3686.13,3692.70,3697.95,33.51
Effective Prefill Concurrency,0.30,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.46
Effective Prefill Throughput (tokens/sec),565.00,0.00,1895.81,,,,,,0.00,,1891.08,1895.81,1895.81,865.13
Effective Prefill Throughput Per User (tokens/sec/user),565.00,0.00,1895.81,,,,,,0.00,,1891.08,1895.81,1895.81,865.13
Effective Total Throughput (tokens/sec),634.88,0.00,1895.81,,,,,,100.80,,1891.08,1895.81,1895.81,819.50
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.75,257.00,258.00,1031.00,257.03,257.15,257.30,257.75,258.00,258.00,258.00,258.00,258.00,0.43
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.21,0.26,0.92,0.21,0.21,0.21,0.22,0.23,0.24,0.25,0.25,0.26,0.02
HTTP Connection Overhead (ms),0.23,0.21,0.26,0.92,0.21,0.21,0.21,0.22,0.23,0.24,0.25,0.25,0.26,0.02
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),64.04,63.97,64.07,256.15,63.97,63.98,63.99,64.03,64.06,64.06,64.06,64.07,64.07,0.04
HTTP Data Sent (KB),7.30,6.73,7.91,29.18,6.75,6.81,6.89,7.12,7.27,7.45,7.72,7.82,7.89,0.42
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3647.33,3610.86,3698.60,14589.34,3611.29,3613.00,3615.15,3621.60,3639.94,3665.68,3685.43,3692.02,3697.29,33.56
HTTP Receiving (ms),2556.32,2519.52,2610.99,10225.29,2519.83,2521.08,2522.63,2527.29,2547.39,2576.41,2597.16,2604.08,2609.61,35.76
HTTP Sending (ms),0.34,0.31,0.36,1.34,0.31,0.31,0.31,0.32,0.34,0.36,0.36,0.36,0.36,0.02
HTTP Total Time (ms),3647.56,3611.11,3698.83,14590.26,3611.54,3613.25,3615.40,3621.82,3640.15,3665.90,3685.66,3692.25,3697.52,33.55
HTTP Waiting (TTFB) (ms),1090.68,1087.25,1094.99,4362.71,1087.32,1087.59,1087.92,1088.93,1090.24,1091.98,1093.79,1094.39,1094.87,2.82
Input Sequence Length (tokens),2061.75,2061.00,2063.00,8247.00,2061.00,2061.00,2061.00,2061.00,2061.50,2062.25,2062.70,2062.85,2062.97,0.83
