timestamp,temp_c,tlimit_margin_c,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,gpu_util_pct,mem_util_pct,mem_used_mib,clocks_event_reasons,hw_thermal_slowdown,sw_power_cap,cpu_pct_total,cpu_pct_per_core_max,load_1m,mem_used_host_mib,mem_available_mib
2026-09-06T17:44:46Z,51,43,15.26,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,4,40,1.20,4668,89498,
2026-09-06T17:44:51Z,49,44,14.65,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,1.10,4662,89505,
2026-09-06T17:44:56Z,48,45,13.53,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,1.10,4657,89510,
2026-09-06T17:45:01Z,47,46,13.20,600.00,180,405,0,1,15,0x0000000000000000,NotActive,NotActive,0,3,1.09,4666,89500,
2026-09-06T17:45:07Z,46,47,13.30,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,1.00,4678,89488,
2026-09-06T17:45:12Z,45,48,13.35,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.92,4676,89491,
2026-09-06T17:45:17Z,44,49,11.31,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,1.01,4689,89477,
2026-09-06T17:45:22Z,44,50,10.92,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,6,52,1.09,6116,88051,
2026-09-06T17:45:27Z,45,48,78.70,600.00,2610,13365,0,0,10395,0x0000000000000000,NotActive,NotActive,3,62,1.08,8742,85424,
2026-09-06T17:45:32Z,44,49,78.33,600.00,2610,13365,0,0,10407,0x0000000000000000,NotActive,NotActive,29,65,2.28,16266,77900,
2026-09-06T17:45:37Z,44,49,78.53,600.00,2610,13365,0,0,10429,0x0000000000000000,NotActive,NotActive,39,79,3.38,26750,67416,
2026-09-06T17:45:42Z,44,49,78.54,600.00,2610,13365,0,0,10447,0x0000000000000000,NotActive,NotActive,39,79,4.39,37421,56745,
2026-09-06T17:45:47Z,42,51,17.16,600.00,202,405,0,0,10463,0x0000000000000000,NotActive,NotActive,32,66,4.12,45777,48389,
2026-09-06T17:45:52Z,42,51,13.80,600.00,180,405,0,0,10477,0x0000000000000000,NotActive,NotActive,27,66,5.15,52071,42096,
2026-09-06T17:45:57Z,41,52,13.61,600.00,172,405,0,0,10493,0x0000000000000000,NotActive,NotActive,35,69,6.02,60629,33537,
2026-09-06T17:46:02Z,41,52,11.73,600.00,180,405,0,0,10505,0x0000000000000000,NotActive,NotActive,26,73,5.70,66351,27815,
2026-09-06T17:46:07Z,40,53,12.87,600.00,180,405,4,0,10517,0x0000000000000000,NotActive,NotActive,30,79,5.48,72169,21998,
