timestamp,temp_c,tlimit_margin_c,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,gpu_util_pct,mem_util_pct,mem_used_mib,clocks_event_reasons,hw_thermal_slowdown,sw_power_cap,cpu_pct_total,cpu_pct_per_core_max,load_1m,mem_used_host_mib,mem_available_mib
2026-09-06T17:55:38Z,53,37,21.12,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,5,50,1.02,5247,88919,
2026-09-06T17:55:43Z,52,39,16.37,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.94,5237,88929,
2026-09-06T17:55:48Z,50,41,15.23,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.86,5240,88927,
2026-09-06T17:55:53Z,49,43,14.78,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.87,5220,88946,
2026-09-06T17:55:58Z,48,45,14.29,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.80,5202,88965,
2026-09-06T17:56:03Z,47,45,13.87,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.74,5214,88952,
2026-09-06T17:56:08Z,46,47,13.62,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.68,5223,88943,
2026-09-06T17:56:13Z,47,46,79.92,600.00,2610,13365,0,0,61799,0x0000000000000000,NotActive,NotActive,4,38,0.79,22117,72049,
2026-09-06T17:56:18Z,47,46,87.74,600.00,2617,13365,25,1,61799,0x0000000000000000,NotActive,NotActive,4,76,0.88,33621,60546,
2026-09-06T17:56:23Z,47,46,87.48,600.00,2617,13365,26,1,61799,0x0000000000000000,NotActive,NotActive,2,33,0.89,33643,60524,
2026-09-06T17:56:28Z,46,47,79.73,600.00,2610,13365,0,0,72255,0x0000000000000000,NotActive,NotActive,1,26,0.90,34383,59784,
2026-09-06T17:56:33Z,46,47,79.28,600.00,2610,13365,0,0,72255,0x0000000000000000,NotActive,NotActive,0,6,0.83,34445,59721,
2026-09-06T17:56:38Z,46,47,78.64,600.00,2610,13365,0,0,72255,0x0000000000000000,NotActive,NotActive,0,2,0.76,34415,59751,
2026-09-06T17:56:43Z,44,49,45.38,600.00,285,13365,0,0,72255,0x0000000000000000,NotActive,NotActive,0,4,0.70,34357,59809,
2026-09-06T17:56:48Z,43,50,11.62,600.00,180,405,0,0,72255,0x0000000000000000,NotActive,NotActive,0,4,0.64,34340,59827,
2026-09-06T17:56:53Z,43,50,11.90,600.00,180,405,0,0,72255,0x0000000000000000,NotActive,NotActive,0,4,0.59,34337,59829,
2026-09-06T17:56:58Z,42,51,11.12,600.00,180,405,0,0,72255,0x0000000000000000,NotActive,NotActive,0,4,0.55,34326,59840,
2026-09-06T17:57:03Z,42,52,14.24,600.00,180,405,0,0,72255,0x0000000000000000,NotActive,NotActive,0,5,0.50,34322,59844,
2026-09-06T17:57:08Z,41,52,10.45,600.00,180,405,0,0,72255,0x0000000000000000,NotActive,NotActive,0,4,0.54,34323,59843,
2026-09-06T17:57:13Z,41,53,9.41,600.00,180,405,0,0,72255,0x0000000000000000,NotActive,NotActive,0,3,0.50,34316,59850,
2026-09-06T17:57:18Z,45,44,64.45,600.00,1680,13365,40,14,72377,0x0000000000000000,NotActive,NotActive,4,32,0.46,35741,58426,
2026-09-06T17:57:24Z,52,41,367.80,600.00,2715,13365,100,27,72377,0x0000000000000000,NotActive,NotActive,3,63,0.50,35708,58459,
2026-09-06T17:57:29Z,55,37,377.48,600.00,2700,13365,100,28,72377,0x0000000000000000,NotActive,NotActive,3,69,0.54,35666,58500,
2026-09-06T17:57:34Z,56,37,381.99,600.00,2685,13365,94,25,72377,0x0000000000000000,NotActive,NotActive,3,98,0.66,35591,58576,
