timestamp,temp_c,tlimit_margin_c,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,gpu_util_pct,mem_util_pct,mem_used_mib,clocks_event_reasons,hw_thermal_slowdown,sw_power_cap,cpu_pct_total,cpu_pct_per_core_max,load_1m,mem_used_host_mib,mem_available_mib
2026-09-06T17:37:25Z,31,62,6.26,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,4,40,0.09,5701,88466,
2026-09-06T17:37:30Z,31,62,6.18,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,6,0.09,5716,88451,
2026-09-06T17:37:35Z,31,62,6.20,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.08,5701,88465,
2026-09-06T17:37:40Z,31,62,7.42,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.07,5694,88473,
2026-09-06T17:37:45Z,31,62,6.23,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.07,5697,88469,
2026-09-06T17:37:50Z,31,62,6.13,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.06,5709,88457,
2026-09-06T17:37:55Z,31,62,9.66,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.06,5744,88422,
2026-09-06T17:38:00Z,31,62,6.18,600.00,172,405,0,0,18,0x0000000000000000,NotActive,NotActive,5,25,0.21,6282,87884,
2026-09-06T17:38:05Z,31,62,6.12,600.00,180,405,0,0,18,0x0000000000000000,NotActive,NotActive,3,37,0.27,6463,87704,
2026-09-06T17:38:10Z,31,62,9.26,600.00,180,405,0,0,18,0x0000000000000000,NotActive,NotActive,9,51,0.33,8092,86074,
2026-09-06T17:38:15Z,32,61,87.16,600.00,2707,13365,0,0,83344,0x0000000000000000,NotActive,NotActive,4,83,0.47,9442,84725,
2026-09-06T17:38:20Z,33,60,90.00,600.00,2842,13365,2,0,83344,0x0000000000000000,NotActive,NotActive,2,21,0.59,9410,84756,
2026-09-06T17:38:25Z,33,60,89.71,600.00,2850,13365,4,0,83344,0x0000000000000000,NotActive,NotActive,2,24,0.62,9417,84749,
2026-09-06T17:38:30Z,34,59,89.68,600.00,2842,13365,4,0,83344,0x0000000000000000,NotActive,NotActive,3,40,0.65,8052,86115,
2026-09-06T17:38:35Z,34,59,90.86,600.00,2842,13365,3,0,83344,0x0000000000000000,NotActive,NotActive,2,32,0.68,8031,86135,
2026-09-06T17:38:40Z,35,58,90.47,600.00,2827,13365,2,0,83344,0x0000000000000000,NotActive,NotActive,2,25,0.79,8088,86078,
2026-09-06T17:38:45Z,35,58,91.46,600.00,2835,13365,3,0,83344,0x0000000000000000,NotActive,NotActive,2,29,0.80,8118,86049,
2026-09-06T17:38:50Z,35,58,91.67,600.00,2835,13365,4,0,83344,0x0000000000000000,NotActive,NotActive,2,22,0.82,8090,86077,
2026-09-06T17:38:55Z,36,57,92.04,600.00,2835,13365,3,0,83344,0x0000000000000000,NotActive,NotActive,2,21,0.83,8203,85963,
2026-09-06T17:39:00Z,36,57,92.90,600.00,2842,13365,6,0,83344,0x0000000000000000,NotActive,NotActive,2,27,0.85,8192,85975,
2026-09-06T17:39:05Z,36,57,76.55,600.00,2617,13365,4,0,83566,0x0000000000000000,NotActive,NotActive,3,31,0.94,8464,85702,
2026-09-06T17:39:10Z,36,57,76.53,600.00,2617,13365,3,0,83566,0x0000000000000000,NotActive,NotActive,3,46,0.95,8791,85375,
2026-09-06T17:39:15Z,36,57,76.26,600.00,2610,13365,0,0,90854,0x0000000000000000,NotActive,NotActive,2,35,0.95,8570,85596,
2026-09-06T17:39:20Z,36,57,75.82,600.00,2610,13365,0,0,90854,0x0000000000000000,NotActive,NotActive,2,20,0.95,8382,85784,
2026-09-06T17:39:25Z,36,57,77.33,600.00,2640,13365,0,0,86872,0x0000000000000000,NotActive,NotActive,3,36,0.96,9054,85113,
2026-09-06T17:39:30Z,36,57,76.31,600.00,2610,13365,0,0,86904,0x0000000000000000,NotActive,NotActive,3,55,0.96,9595,84572,
2026-09-06T17:39:35Z,36,57,76.05,600.00,2610,13365,0,0,86904,0x0000000000000000,NotActive,NotActive,3,51,0.97,9492,84674,
2026-09-06T17:39:40Z,36,57,75.96,600.00,2610,13365,0,0,87148,0x0000000000000000,NotActive,NotActive,3,47,0.97,9538,84628,
2026-09-06T17:39:45Z,37,56,75.91,600.00,2610,13365,0,0,87148,0x0000000000000000,NotActive,NotActive,3,50,0.97,9770,84396,
2026-09-06T17:39:50Z,37,56,76.58,600.00,2610,13365,0,0,87148,0x0000000000000000,NotActive,NotActive,3,46,0.97,9924,84242,
2026-09-06T17:39:56Z,37,56,78.20,600.00,2617,13365,1,1,87342,0x0000000000000000,NotActive,NotActive,5,54,1.22,9842,84324,
2026-09-06T17:40:01Z,37,56,77.39,600.00,2617,13365,1,0,88629,0x0000000000000000,NotActive,NotActive,3,37,1.20,10007,84159,
2026-09-06T17:40:06Z,38,55,111.36,600.00,2850,13365,0,0,89169,0x0000000000000000,NotActive,NotActive,5,73,1.26,10564,83603,
2026-09-06T17:40:11Z,37,56,76.43,600.00,2610,13365,0,0,89173,0x0000000000000000,NotActive,NotActive,3,91,1.32,10951,83216,
2026-09-06T17:40:16Z,37,56,85.63,600.00,2610,13365,0,0,89173,0x0000000000000000,NotActive,NotActive,3,52,1.38,10882,83285,
2026-09-06T17:40:21Z,37,56,76.47,600.00,2610,13365,0,0,88783,0x0000000000000000,NotActive,NotActive,7,50,1.35,10974,83192,
2026-09-06T17:40:26Z,37,56,76.52,600.00,2610,13365,0,0,88783,0x0000000000000000,NotActive,NotActive,4,74,1.40,10611,83555,
2026-09-06T17:40:31Z,37,56,76.14,600.00,2610,13365,0,0,88783,0x0000000000000000,NotActive,NotActive,3,83,1.45,10575,83591,
2026-09-06T17:40:36Z,38,56,76.23,600.00,2610,13365,0,0,88787,0x0000000000000000,NotActive,NotActive,3,100,1.41,10558,83608,
2026-09-06T17:40:41Z,38,55,76.25,600.00,2610,13365,0,0,88787,0x0000000000000000,NotActive,NotActive,3,63,1.38,10534,83633,
2026-09-06T17:40:46Z,38,55,76.34,600.00,2610,13365,0,0,88787,0x0000000000000000,NotActive,NotActive,3,89,1.35,10499,83668,
2026-09-06T17:40:51Z,38,55,76.28,600.00,2610,13365,0,0,88787,0x0000000000000000,NotActive,NotActive,3,55,1.32,10504,83662,
2026-09-06T17:40:56Z,38,55,76.33,600.00,2610,13365,0,0,88787,0x0000000000000000,NotActive,NotActive,3,90,1.37,10497,83669,
2026-09-06T17:41:01Z,38,55,76.45,600.00,2610,13365,0,0,88787,0x0000000000000000,NotActive,NotActive,3,100,1.34,10492,83675,
2026-09-06T17:41:06Z,38,55,80.86,600.00,2610,13365,0,0,88787,0x0000000000000000,NotActive,NotActive,3,100,1.32,10345,83821,
2026-09-06T17:41:11Z,38,55,76.48,600.00,2610,13365,0,0,88783,0x0000000000000000,NotActive,NotActive,7,93,1.29,11371,82795,
2026-09-06T17:41:16Z,48,41,368.48,600.00,2812,13365,76,50,91763,0x0000000000000000,NotActive,NotActive,4,62,1.35,12145,82021,
2026-09-06T17:41:21Z,55,37,389.55,600.00,2655,13365,99,68,91767,0x0000000000000000,NotActive,NotActive,3,44,1.32,12170,81996,
2026-09-06T17:41:26Z,54,37,379.32,600.00,2640,13365,99,66,91769,0x0000000000000000,NotActive,NotActive,3,44,1.29,12160,82006,
2026-09-06T17:41:31Z,55,36,361.46,600.00,2767,13365,99,64,91791,0x0000000000000000,NotActive,NotActive,3,47,1.27,12161,82006,
2026-09-06T17:41:36Z,51,45,362.00,600.00,2685,13365,12,9,91793,0x0000000000000000,NotActive,NotActive,3,37,1.25,12159,82008,
2026-09-06T17:41:41Z,49,34,337.38,600.00,2835,13365,12,8,92009,0x0000000000000000,NotActive,NotActive,3,35,1.23,12192,81974,
2026-09-06T17:41:46Z,56,36,305.64,600.00,2805,13365,94,57,92009,0x0000000000000000,NotActive,NotActive,3,71,1.21,12183,81983,
2026-09-06T17:41:51Z,56,37,375.61,600.00,2812,13365,96,79,92011,0x0000000000000000,NotActive,NotActive,3,70,1.11,12181,81985,
