timestamp,temp_c,tlimit_margin_c,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,gpu_util_pct,mem_util_pct,mem_used_mib,clocks_event_reasons,hw_thermal_slowdown,sw_power_cap,cpu_pct_total,cpu_pct_per_core_max,load_1m,mem_used_host_mib,mem_available_mib
2026-09-03T16:24:20Z,44,49,13.57,600.00,180,810,0,0,15,0x0000000000000000,NotActive,NotActive,2,33,1.03,4381,89785,
2026-09-03T16:24:25Z,43,50,11.59,600.00,187,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.95,4382,89784,
2026-09-03T16:24:30Z,42,51,9.68,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.87,4392,89774,
2026-09-03T16:24:35Z,41,52,9.83,600.00,172,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.80,4395,89771,
2026-09-03T16:24:40Z,40,53,13.20,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.82,4389,89777,
2026-09-03T16:24:45Z,39,54,9.48,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.75,4392,89774,
2026-09-03T16:24:50Z,39,54,9.27,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.69,4452,89714,
2026-09-03T16:24:55Z,39,54,49.55,600.00,2610,13365,0,0,641,0x0000000000000000,NotActive,NotActive,7,42,0.72,6080,88086,
2026-09-03T16:25:00Z,39,54,77.23,600.00,2610,13365,0,0,10395,0x0000000000000000,NotActive,NotActive,4,65,0.74,8512,85654,
2026-09-03T16:25:05Z,39,54,77.21,600.00,2610,13365,0,0,10405,0x0000000000000000,NotActive,NotActive,27,73,0.76,15389,78777,
2026-09-03T16:25:10Z,39,54,77.25,600.00,2610,13365,0,0,10427,0x0000000000000000,NotActive,NotActive,38,79,1.98,25864,68302,
2026-09-03T16:25:15Z,39,55,77.22,600.00,2610,13365,2,0,10447,0x0000000000000000,NotActive,NotActive,39,82,1.98,36567,57600,
2026-09-03T16:25:20Z,37,56,13.02,600.00,180,405,0,0,10467,0x0000000000000000,NotActive,NotActive,36,74,3.03,46946,47221,
2026-09-03T16:25:25Z,37,56,12.62,600.00,180,405,2,0,10479,0x0000000000000000,NotActive,NotActive,27,69,4.06,52589,41578,
2026-09-03T16:25:30Z,36,57,12.77,600.00,180,405,0,0,10497,0x0000000000000000,NotActive,NotActive,36,78,5.10,62031,32135,
2026-09-03T16:25:36Z,36,57,12.41,600.00,180,405,0,0,10513,0x0000000000000000,NotActive,NotActive,34,67,5.97,69954,24212,
2026-09-03T16:25:41Z,37,56,40.94,600.00,2625,13365,0,0,87747,0x0000000000000000,NotActive,NotActive,20,61,6.94,74028,20138,
2026-09-03T16:25:46Z,37,56,76.97,600.00,2610,13365,0,0,87757,0x0000000000000000,NotActive,NotActive,4,67,6.54,74904,19263,
2026-09-03T16:25:51Z,37,56,76.62,600.00,2617,13365,0,0,87757,0x0000000000000000,NotActive,NotActive,3,45,6.18,75106,19060,
2026-09-03T16:25:56Z,37,56,76.48,600.00,2610,13365,0,0,87759,0x0000000000000000,NotActive,NotActive,6,49,5.92,75489,18677,
2026-09-03T16:26:01Z,37,56,76.34,600.00,2610,13365,0,0,87759,0x0000000000000000,NotActive,NotActive,4,60,5.53,75429,18737,
2026-09-03T16:26:06Z,37,56,76.64,600.00,2610,13365,0,0,87759,0x0000000000000000,NotActive,NotActive,4,64,5.17,74857,19309,
2026-09-03T16:26:11Z,37,56,76.86,600.00,2610,13365,0,0,87959,0x0000000000000000,NotActive,NotActive,3,48,4.91,75308,18858,
