timestamp,temp_c,tlimit_margin_c,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,gpu_util_pct,mem_util_pct,mem_used_mib,clocks_event_reasons,hw_thermal_slowdown,sw_power_cap,cpu_pct_total,cpu_pct_per_core_max,load_1m,mem_used_host_mib,mem_available_mib
2026-09-06T11:18:13Z,31,62,6.73,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,5,60,0.34,6104,88062,
2026-09-06T11:18:18Z,31,62,6.60,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.31,6107,88060,
2026-09-06T11:18:23Z,31,62,6.28,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.36,6098,88068,
2026-09-06T11:18:28Z,31,62,6.28,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.33,6103,88063,
2026-09-06T11:18:33Z,31,62,7.99,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.31,6119,88047,
2026-09-06T11:18:38Z,31,62,6.17,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.28,6112,88055,
2026-09-06T11:18:43Z,31,62,6.39,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.26,6121,88045,
2026-09-06T11:18:48Z,33,60,102.93,600.00,2850,13365,0,0,76341,0x0000000000000000,NotActive,NotActive,3,35,0.32,8414,85752,
2026-09-06T11:18:53Z,33,60,74.55,600.00,2610,13365,0,0,76341,0x0000000000000000,NotActive,NotActive,0,6,0.29,8498,85668,
2026-09-06T11:18:58Z,33,60,74.42,600.00,2610,13365,0,0,76341,0x0000000000000000,NotActive,NotActive,0,2,0.27,8400,85767,
2026-09-06T11:19:03Z,34,59,74.97,600.00,2610,13365,0,0,76341,0x0000000000000000,NotActive,NotActive,2,16,0.25,8377,85789,
2026-09-06T11:19:08Z,32,61,28.90,600.00,180,810,0,0,76341,0x0000000000000000,NotActive,NotActive,0,3,0.23,8306,85861,
2026-09-06T11:19:13Z,32,61,6.32,600.00,180,405,0,0,76341,0x0000000000000000,NotActive,NotActive,0,2,0.21,8255,85911,
2026-09-06T11:19:18Z,32,61,6.86,600.00,180,405,0,0,76341,0x0000000000000000,NotActive,NotActive,0,2,0.19,8199,85967,
2026-09-06T11:19:23Z,32,61,8.56,600.00,180,405,0,0,76341,0x0000000000000000,NotActive,NotActive,0,4,0.18,8188,85978,
2026-09-06T11:19:28Z,32,61,6.78,600.00,180,405,0,0,76341,0x0000000000000000,NotActive,NotActive,0,4,0.16,8149,86017,
2026-09-06T11:19:33Z,32,61,6.65,600.00,180,405,0,0,76341,0x0000000000000000,NotActive,NotActive,0,4,0.15,8208,85958,
