timestamp,temp_c,tlimit_margin_c,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,gpu_util_pct,mem_util_pct,mem_used_mib,clocks_event_reasons,hw_thermal_slowdown,sw_power_cap,cpu_pct_total,cpu_pct_per_core_max,load_1m,mem_used_host_mib,mem_available_mib
2026-09-03T20:48:14Z,32,61,5.68,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,10,75,0.96,4673,89493,
2026-09-03T20:48:19Z,32,61,7.40,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.89,4641,89526,
2026-09-03T20:48:24Z,31,62,5.96,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.81,4642,89524,
2026-09-03T20:48:29Z,31,62,6.18,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,3,0.75,4645,89521,
2026-09-03T20:48:34Z,31,62,9.22,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.69,4646,89520,
2026-09-03T20:48:40Z,31,62,5.93,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,2,0.63,4653,89514,
2026-09-03T20:48:45Z,31,62,5.77,600.00,180,405,0,0,15,0x0000000000000000,NotActive,NotActive,0,4,0.58,4674,89492,
2026-09-03T20:48:50Z,31,62,5.78,600.00,180,405,0,0,18,0x0000000000000000,NotActive,NotActive,5,74,0.62,5365,88801,
2026-09-03T20:48:55Z,31,62,6.69,600.00,180,405,0,0,18,0x0000000000000000,NotActive,NotActive,5,50,0.81,6336,87831,
2026-09-03T20:49:00Z,31,62,5.82,600.00,180,405,0,0,18,0x0000000000000000,NotActive,NotActive,9,80,0.82,7881,86285,
2026-09-03T20:49:05Z,33,60,86.58,600.00,2842,13365,7,0,83344,0x0000000000000000,NotActive,NotActive,4,41,0.84,8465,85701,
2026-09-03T20:49:10Z,33,60,92.35,600.00,2842,13365,8,0,83344,0x0000000000000000,NotActive,NotActive,3,38,0.93,8476,85690,
2026-09-03T20:49:15Z,33,60,92.39,600.00,2842,13365,8,0,83344,0x0000000000000000,NotActive,NotActive,3,52,1.02,8446,85721,
2026-09-03T20:49:20Z,34,59,92.82,600.00,2850,13365,8,0,83344,0x0000000000000000,NotActive,NotActive,3,35,1.02,8401,85765,
2026-09-03T20:49:25Z,34,59,83.50,600.00,2617,13365,3,0,83566,0x0000000000000000,NotActive,NotActive,3,39,1.01,8669,85497,
2026-09-03T20:49:30Z,34,59,76.25,600.00,2617,13365,3,0,83566,0x0000000000000000,NotActive,NotActive,3,68,1.01,8629,85538,
2026-09-03T20:49:35Z,34,59,75.68,600.00,2610,13365,0,0,90854,0x0000000000000000,NotActive,NotActive,3,57,1.01,8840,85326,
2026-09-03T20:49:40Z,34,59,76.20,600.00,2610,13365,0,0,86872,0x0000000000000000,NotActive,NotActive,3,36,1.01,9858,84308,
