server : http://localhost:8000  (b10666-4e97ac86e)
model  : qwen3.8-flash-next   ctx 262,144
params : temperature 1.0  top_p 0.95  top_k 20  min_p 0.0  repeat_penalty 1.0  max_tokens 49152  (everything else = server/model defaults)
run    : bench_results/20260830-195744_qwen3.8-flash-next_spec01rate-p2_none/


[1/3] build app         23294 tok    93.2 t/s   
[1/3] build app         23315 tok    93.2 t/s   
[1/3] build app         23336 tok    93.2 t/s   
[1/3] build app         23357 tok    93.2 t/s   
[1/3] build app         23378 tok    93.2 t/s   
[1/3] build app         23399 tok    93.2 t/s   
[1/3] build app         23418 tok    93.1 t/s   
[1/3] build app         23439 tok    93.1 t/s   
[1/3] build app         23460 tok    93.1 t/s   
[1/3] build app         23481 tok    93.1 t/s   
[1/3] build app         23502 tok    93.1 t/s   
[1/3] build app         23523 tok    93.1 t/s   
[1/3] build app         23544 tok    93.1 t/s   
[1/3] build app         23565 tok    93.1 t/s   
[1/3] build app         23586 tok    93.0 t/s   
[1/3] build app         23606 tok    93.0 t/s   
[1/3] build app         23627 tok    93.0 t/s   
[1/3] build app         23647 tok    93.0 t/s   
[1/3] build app         23666 tok    93.0 t/s   
[1/3] build app         23686 tok    93.0 t/s   
[1/3] build app         23706 tok    93.0 t/s   
[1/3] build app         23726 tok    92.9 t/s   
[1/3] build app         23746 tok    92.9 t/s   
[1/3] build app         23766 tok    92.9 t/s   
[1/3] build app         23786 tok    92.9 t/s   
[1/3] build app         23806 tok    92.9 t/s   
[1/3] build app         23826 tok    92.9 t/s   
[1/3] build app         23846 tok    92.9 t/s   
[1/3] build app         23866 tok    92.9 t/s   
[1/3] build app         23886 tok    92.8 t/s   
[1/3] build app         23906 tok    92.8 t/s   
[1/3] build app         23925 tok    92.8 t/s   
[1/3] build app         23945 tok    92.8 t/s   
[1/3] build app         23965 tok    92.8 t/s   
[1/3] build app         23985 tok    92.8 t/s   
[1/3] build app         24005 tok    92.8 t/s   
[1/3] build app         24025 tok    92.7 t/s   
[1/3] build app         24045 tok    92.7 t/s   
[1/3] build app         24065 tok    92.7 t/s   
[1/3] build app         24085 tok    92.7 t/s   
[1/3] build app         24105 tok    92.7 t/s   
[1/3] build app         24125 tok    92.7 t/s   
[1/3] build app         24145 tok    92.7 t/s   
[1/3] build app         24165 tok    92.7 t/s   
[1/3] build app         24184 tok    92.6 t/s   
[1/3] build app         24204 tok    92.6 t/s   
[1/3] build app         24224 tok    92.6 t/s   
[1/3] build app         24244 tok    92.6 t/s   
[1/3] build app         24264 tok    92.6 t/s   
[1/3] build app         24284 tok    92.6 t/s   
[1/3] build app         24304 tok    92.6 t/s   
[1/3] build app         24324 tok    92.5 t/s   
[1/3] build app         24344 tok    92.5 t/s   
[1/3] build app         24364 tok    92.5 t/s   
[1/3] build app         24384 tok    92.5 t/s   
[1/3] build app         24404 tok    92.5 t/s   
[1/3] build app         24424 tok    92.5 t/s   
[1/3] build app         24443 tok    92.5 t/s   
[1/3] build app         24463 tok    92.5 t/s   
[1/3] build app         24483 tok    92.4 t/s   
[1/3] build app         24503 tok    92.4 t/s   
[1/3] build app         24523 tok    92.4 t/s   
[1/3] build app         24543 tok    92.4 t/s   
[1/3] build app         24563 tok    92.4 t/s   
[1/3] build app         24583 tok    92.4 t/s   
[1/3] build app         24603 tok    92.4 t/s   
[1/3] build app         24623 tok    92.4 t/s   
[1/3] build app         24643 tok    92.3 t/s   
[1/3] build app         24663 tok    92.3 t/s   
[1/3] build app         24682 tok    92.3 t/s   
[1/3] build app         24702 tok    92.3 t/s   
[1/3] build app         24722 tok    92.3 t/s   
[1/3] build app         24742 tok    92.3 t/s   
[1/3] build app         24762 tok    92.3 t/s   
[1/3] build app         24782 tok    92.2 t/s   
[1/3] build app         24802 tok    92.2 t/s   
[1/3] build app         24822 tok    92.2 t/s   
[1/3] build app         24842 tok    92.2 t/s   
[1/3] build app         24862 tok    92.2 t/s   
[1/3] build app         24882 tok    92.2 t/s   
[1/3] build app         24902 tok    92.2 t/s   
[1/3] build app         24922 tok    92.2 t/s   
[1/3] build app         24941 tok    92.1 t/s   
[1/3] build app         24961 tok    92.1 t/s   
[1/3] build app         24981 tok    92.1 t/s   
[1/3] build app         25001 tok    92.1 t/s   
[1/3] build app         25021 tok    92.1 t/s   
[1/3] build app         25041 tok    92.1 t/s   
[1/3] build app         25061 tok    92.1 t/s   
[1/3] build app         25072 tok    92.1 t/s  TTFT 250.24s  accept -          

[2/3] chat history      20747 tok    92.2 t/s   
[2/3] chat history      20768 tok    92.2 t/s   
[2/3] chat history      20789 tok    92.2 t/s   
[2/3] chat history      20808 tok    92.1 t/s   
[2/3] chat history      20829 tok    92.1 t/s   
[2/3] chat history      20849 tok    92.1 t/s   
[2/3] chat history      20870 tok    92.1 t/s   
[2/3] chat history      20891 tok    92.1 t/s   
[2/3] chat history      20912 tok    92.1 t/s   
[2/3] chat history      20933 tok    92.1 t/s   
[2/3] chat history      20954 tok    92.1 t/s   
[2/3] chat history      20975 tok    92.0 t/s   
[2/3] chat history      20996 tok    92.0 t/s   
[2/3] chat history      21017 tok    92.0 t/s   
[2/3] chat history      21038 tok    92.0 t/s   
[2/3] chat history      21057 tok    92.0 t/s   
[2/3] chat history      21078 tok    92.0 t/s   
[2/3] chat history      21099 tok    92.0 t/s   
[2/3] chat history      21120 tok    91.9 t/s   
[2/3] chat history      21141 tok    91.9 t/s   
[2/3] chat history      21162 tok    91.9 t/s   
[2/3] chat history      21183 tok    91.9 t/s   
[2/3] chat history      21204 tok    91.9 t/s   
[2/3] chat history      21225 tok    91.9 t/s   
[2/3] chat history      21246 tok    91.9 t/s   
[2/3] chat history      21267 tok    91.8 t/s   
[2/3] chat history      21288 tok    91.8 t/s   
[2/3] chat history      21309 tok    91.8 t/s   
[2/3] chat history      21328 tok    91.8 t/s   
[2/3] chat history      21349 tok    91.8 t/s   
[2/3] chat history      21370 tok    91.8 t/s   
[2/3] chat history      21391 tok    91.8 t/s   
[2/3] chat history      21412 tok    91.8 t/s   
[2/3] chat history      21433 tok    91.7 t/s   
[2/3] chat history      21454 tok    91.7 t/s   
[2/3] chat history      21474 tok    91.7 t/s   
[2/3] chat history      21494 tok    91.7 t/s   
[2/3] chat history      21515 tok    91.7 t/s   
[2/3] chat history      21536 tok    91.7 t/s   
[2/3] chat history      21557 tok    91.7 t/s   
[2/3] chat history      21576 tok    91.6 t/s   
[2/3] chat history      21597 tok    91.6 t/s   
[2/3] chat history      21617 tok    91.6 t/s   
[2/3] chat history      21638 tok    91.6 t/s   
[2/3] chat history      21659 tok    91.6 t/s   
[2/3] chat history      21680 tok    91.6 t/s   
[2/3] chat history      21700 tok    91.6 t/s   
