server : http://localhost:8000  (b10666-4e97ac86e)
model  : qwen3.8-flash-next   ctx 262,144
params : temperature 1.0  top_p 0.95  top_k 20  min_p 0.0  repeat_penalty 1.0  max_tokens 49152  (everything else = server/model defaults)
run    : bench_results/20260830-204523_qwen3.8-flash-next_spec01rate-p1_ngram-mod/


[1/3] build app         13991 tok   103.0 t/s   
[1/3] build app         14014 tok   103.0 t/s   
[1/3] build app         14037 tok   103.0 t/s   
[1/3] build app         14060 tok   102.9 t/s   
[1/3] build app         14083 tok   102.9 t/s   
[1/3] build app         14106 tok   102.9 t/s   
[1/3] build app         14129 tok   102.9 t/s   
[1/3] build app         14152 tok   102.8 t/s   
[1/3] build app         14175 tok   102.8 t/s   
[1/3] build app         14197 tok   102.8 t/s   
[1/3] build app         14220 tok   102.8 t/s   
[1/3] build app         14235 tok   102.7 t/s   
[1/3] build app         14261 tok   102.7 t/s   
[1/3] build app         14284 tok   102.6 t/s   
[1/3] build app         14307 tok   102.6 t/s   
[1/3] build app         14321 tok   102.5 t/s   
[1/3] build app         14361 tok   102.6 t/s   
[1/3] build app         14436 tok   102.9 t/s   
[1/3] build app         14470 tok   103.0 t/s   
[1/3] build app         14493 tok   102.9 t/s   
[1/3] build app         14516 tok   102.9 t/s   
[1/3] build app         14539 tok   102.9 t/s   
[1/3] build app         14562 tok   102.9 t/s   
[1/3] build app         14630 tok   103.1 t/s   
[1/3] build app         14664 tok   103.2 t/s   
[1/3] build app         14687 tok   103.2 t/s   
[1/3] build app         14708 tok   103.1 t/s   
[1/3] build app         14731 tok   103.1 t/s   
[1/3] build app         14754 tok   103.1 t/s   
[1/3] build app         14777 tok   103.1 t/s   
[1/3] build app         14800 tok   103.0 t/s   
[1/3] build app         14823 tok   103.0 t/s   
[1/3] build app         14840 tok   102.9 t/s   
[1/3] build app         14872 tok   103.0 t/s   
[1/3] build app         14895 tok   102.9 t/s   
[1/3] build app         14918 tok   102.9 t/s   
[1/3] build app         14941 tok   102.9 t/s   
[1/3] build app         14962 tok   102.9 t/s   
[1/3] build app         14975 tok   102.8 t/s   
[1/3] build app         15005 tok   102.8 t/s   
[1/3] build app         15028 tok   102.8 t/s   
[1/3] build app         15051 tok   102.7 t/s   
[1/3] build app         15074 tok   102.7 t/s   
