cap,ctx,ncmoe,mode,length,prefill_tps,decode_tps,ttft_ms
8,16384,48,mmap,256,118.71,35.41,2156.5
8,16384,48,mmap,2048,232.11,35.69,8823.61
8,16384,48,mmap,8192,236.05,34.11,34704.52
8,16384,48,mmap,12288,234.75,33.28,52344.21
16,131072,45,mmap,256,143.41,38.15,1786.1
16,131072,45,mmap,2048,249.19,37.93,8219.0
16,131072,45,mmap,8192,245.71,35.59,33340.43
16,131072,45,mmap,32768,239.02,30.59,137100.52
16,131072,45,mmap,65536,233.47,25.01,280709.57
16,131072,45,mmap,122880,224.54,20.57,547257.36
24,262144,42,mmap,256,151.75,39.3,1687.31
24,262144,42,mmap,2048,259.72,39.01,7885.76
24,262144,42,mmap,8192,256.97,37.34,31879.39
24,262144,42,mmap,32768,252.32,31.22,129868.45
24,262144,42,mmap,65536,245.87,25.33,266552.75
24,262144,42,mmap,131072,234.23,20.62,559587.07
24,262144,42,mmap,245760,219.7,14.89,1118608.72
32,262144,36,mmap,256,161.12,42.84,1590.47
32,262144,36,mmap,2048,292.03,42.24,7012.98
32,262144,36,mmap,8192,290.26,39.57,28222.57
32,262144,36,mmap,32768,286.2,33.21,114493.29
32,262144,36,mmap,65536,277.19,28.14,236432.6
32,262144,36,mmap,131072,262.87,22.1,498626.16
32,262144,36,mmap,245760,244.71,15.41,1004285.15
48,262144,23,none,256,457.58,53.37,559.57
48,262144,23,none,2048,746.71,51.73,2742.7
48,262144,23,none,8192,747.22,48.79,10963.31
48,262144,23,none,32768,723.88,40.91,45266.98
48,262144,23,none,131072,618.48,24.3,211926.0
48,262144,23,none,245760,535.16,16.96,459227.15
96,262144,0,none,256,1304.51,113.09,196.25
96,262144,0,none,2048,1954.87,109.07,1047.65
96,262144,0,none,8192,1874.65,98.94,4369.89
96,262144,0,none,32768,1706.32,72.37,19203.93
96,262144,0,none,65536,1531.04,53.28,42804.9
96,262144,0,none,131072,1266.55,34.91,103487.6
96,262144,0,none,245760,975.01,21.61,252058.86
