label	tier	n_cpu_moe	spec	load_mode	lazy	mem_cap	exit	artifact	balloon
smoke24_off	24	42	off	mmap	off	none	1	fn_tier_llamacpp_20260907T154236Z	0
smoke24_cpu	24	42	cpu	mmap	off	none	1	fn_tier_llamacpp_20260907T154328Z	0
smoke24_off	24	42	off	mmap	off	none	0	fn_tier_llamacpp_20260907T154504Z	0
smoke24_cpu	24	42	cpu	mmap	off	none	0	fn_tier_llamacpp_20260907T154728Z	0
tnogpu_off	nogpu	48	off	mmap	off	none	0	fn_tier_llamacpp_20260907T155448Z	0
tnogpu_cpu	nogpu	48	cpu	mmap	off	none	124	fn_tier_llamacpp_20260907T160057Z	0
t8_off	8	48	off	mmap	off	none	0	fn_tier_llamacpp_20260907T170140Z	0
t8_gpu	8	48	gpu	mmap	off	none	1	fn_tier_llamacpp_20260907T170403Z	0
t8_cpu	8	48	cpu	mmap	off	none	0	fn_tier_llamacpp_20260907T170445Z	0
t16_off	16	45	off	mmap	off	none	0	fn_tier_llamacpp_20260907T171148Z	0
t16_gpu	16	45	gpu	mmap	off	none	0	fn_tier_llamacpp_20260907T171406Z	0
t16_cpu	16	45	cpu	mmap	off	none	0	fn_tier_llamacpp_20260907T172015Z	0
t24_off	24	42	off	mmap	off	none	0	fn_tier_llamacpp_20260907T172722Z	0
t24_off	24	42	off	mmap	off	none	0	fn_tier_llamacpp_20260907T173126Z	0
t24_gpu	24	42	gpu	mmap	off	none	0	fn_tier_llamacpp_20260907T173341Z	0
t32_off	32	36	off	mmap	off	none	0	fn_tier_llamacpp_20260907T173903Z	0
t32_gpu	32	36	gpu	mmap	off	none	0	fn_tier_llamacpp_20260907T174109Z	0
t48_off	48	23	off	mmap	off	none	0	fn_tier_llamacpp_20260907T174611Z	0
t48_gpu	48	23	gpu	mmap	off	none	0	fn_tier_llamacpp_20260907T174757Z	0
t96_off	96	0	off	mmap	off	none	1	fn_tier_llamacpp_20260907T175131Z	0
t96_gpu	96	0	gpu	mmap	off	none	1	fn_tier_llamacpp_20260907T175237Z	0
v64_published	24	42	off	mmap	off	64g	0	fn_tier_llamacpp_20260907T191441Z	0
v64_lazy	24	42	off	mmap	on	64g	0	fn_tier_llamacpp_20260907T191720Z	0
v64_lazy_mtp	24	42	cpu	mmap	on	64g	0	fn_tier_llamacpp_20260907T191934Z	0
v56_published	24	42	off	mmap	off	56g	0	fn_tier_llamacpp_20260907T192627Z	0
v56_lazy	24	42	off	mmap	on	56g	0	fn_tier_llamacpp_20260907T192857Z	0
