ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
15:47:58	20299776	19992576	73728	0	0	0	0
15:48:03	746663936	548954112	101912576	0	0	0	0
15:48:08	1181478912	845766656	188858368	100	4161536	0	0
15:48:13	1339314176	989892608	188858368	100	4161536	0	0
15:48:18	1662410752	1296658432	199467008	1118	9940992	0	0
15:48:23	1900445696	1519943680	208961536	2785	19562496	0	0
15:48:28	1907662848	1519951872	209686528	2899	20025344	0	0
15:48:33	2166149120	1777008640	209686528	2899	20025344	0	0
15:48:38	2167451648	1777045504	209862656	2942	20332544	0	0
15:48:43	2168516608	1777045504	210780160	3166	21118976	0	0
15:48:48	2169098240	1777045504	211423232	3323	21925888	0	0
15:48:53	2169970688	1777082368	211873792	3433	22376448	0	0
15:48:59	2169896960	1777082368	212307968	3539	22646784	0	0
15:49:04	2170171392	1777082368	212709376	3637	23240704	0	0
15:49:09	2172239872	1777119232	214052864	3902	24391680	0	0
15:49:14	2173304832	1777119232	214708224	4062	25374720	0	0
15:49:19	2174287872	1777119232	215425024	4237	25763840	0	0
15:49:24	2175369216	1777156096	215953408	4366	26292224	0	0
15:49:29	2176688128	1777156096	217755648	4600	28094464	0	0
15:49:34	2178134016	1777156096	218800128	4855	29138944	0	0
15:49:39	2177531904	1777192960	219271168	4970	29609984	0	0
15:49:44	2178437120	1777192960	219766784	5091	30105600	0	0
15:49:49	2179141632	1777250304	220397568	5245	30736384	0	0
15:49:54	2180378624	1777287168	221327360	5472	31666176	0	0
15:49:59	2182172672	1777287168	222318592	5651	32657408	0	0
15:50:04	2183143424	1777287168	223129600	5849	33468416	0	0
15:50:09	2618753024	2210693120	223686656	5985	34025472	0	0
15:50:14	2384732160	1974607872	225075200	6116	35414016	0	0
15:50:19	2636443648	2225467392	225075200	6116	35414016	0	0
15:50:24	2637127680	2225565696	225075200	6116	35414016	0	0
15:50:29	2637680640	2225565696	225648640	6205	35987456	0	0
15:50:34	2638094336	2225565696	226021376	6296	36462592	0	0
15:50:39	2637856768	2225602560	226545664	6424	36884480	0	0
15:50:44	2638884864	2225602560	226783232	6482	37355520	0	0
15:50:49	2640183296	2225602560	227184640	6580	37523456	0	0
15:50:54	2640310272	2225696768	227807232	6709	38248448	0	0
15:50:59	2640965632	2225696768	228225024	6811	38563840	0	0
15:51:04	2641305600	2225696768	228900864	6976	39440384	0	0
15:51:09	2642472960	2225733632	229900288	7220	40239104	0	0
15:51:14	2643034112	2225733632	230305792	7319	40873984	0	0
15:51:19	2643308544	2225733632	230924288	7470	41263104	0	0
15:51:24	2644004864	2225770496	231219200	7542	41558016	0	0
15:51:29	2644267008	2225827840	231751680	7672	42258432	0	0
15:51:34	2645000192	2225827840	232521728	7860	42860544	0	0
15:51:39	2646806528	2225864704	233287680	7984	43782144	0	0
15:51:44	2847838208	2423156736	236249088	8220	46587904	0	0
15:51:49	2954559488	2528161792	238084096	8220	48422912	0	0
15:51:54	3098357760	2671370240	238084096	8220	48422912	0	0
15:51:59	3098603520	2671370240	238149632	8236	48521216	0	0
15:52:04	3099406336	2671431680	238182400	8244	48558080	0	0
15:52:09	3098013696	2671431680	238383104	8293	48791552	0	0
15:52:14	3098529792	2671431680	239009792	8402	49475584	0	0
15:52:19	3100426240	2671431680	240787456	8656	51126272	0	0
15:52:24	3102416896	2671431680	241328128	8788	51900416	0	0
15:52:29	3102941184	2671431680	242466816	9003	53067776	0	0
15:52:34	3103539200	2671435776	243220480	9187	53755904	0	0
15:52:39	3104415744	2671435776	244150272	9414	54644736	0	0
15:52:45	3106189312	2671435776	245100544	9646	55668736	0	0
15:52:50	3106676736	2671435776	245821440	9822	56492032	0	0
15:52:55	3107168256	2671435776	246726656	10043	57065472	0	0
15:53:00	3109113856	2671435776	247672832	10274	58241024	0	0
15:53:05	3110625280	2671435776	248324096	10433	58662912	0	0
15:53:10	3110498304	2671456256	248709120	10527	59240448	0	0
15:53:15	3110903808	2671456256	249810944	10733	60149760	0	0
15:53:20	3114377216	2671472640	251219968	11014	61558784	0	0
15:53:25	3112992768	2671456256	251809792	11158	62353408	0	0
15:53:30	3312812032	2868797440	253419520	11551	63758336	0	0
15:53:35	3314343936	2870673408	253419520	11551	63758336	0	0
15:53:40	3567247360	3120234496	254382080	11749	64720896	0	0
15:53:45	3571765248	3119558656	260366336	13115	70709248	0	0
15:53:50	3578654720	3120234496	265961472	14292	76365824	0	0
