ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
15:45:35	21377024	18821120	196608	0	0	0	0
15:45:40	542158848	416903168	34918400	0	0	0	0
15:45:45	2263195648	608694272	1545293824	7352	1514795008	0	0
15:45:50	16199077888	724721664	15310180352	14591	15277060096	0	0
15:45:55	17407369216	843468800	16387104768	19171	16352186368	0	0
15:46:00	17696415744	998215680	16515354624	22947	16482721792	0	0
15:46:05	18107039744	1195720704	16723918848	28919	16689000448	0	0
15:46:10	18306027520	1196404736	16912154624	36502	16877236224	0	0
15:46:15	18588983296	1434828800	16954474496	39696	16919556096	0	0
15:46:20	18625445888	1434828800	16988831744	41922	16954335232	0	0
15:46:25	18952982528	1632219136	17114161152	48245	17079242752	0	0
15:46:30	19133325312	1750974464	17170554880	54712	17135636480	0	0
15:46:35	19260923904	1868341248	17181618176	55370	17146699776	0	0
15:46:40	19271458816	1868341248	17190686720	57178	17156104192	0	0
15:46:45	19538608128	2065702912	17256255488	65302	17221484544	0	0
15:46:50	19802247168	2302464000	17281261568	67416	17246343168	0	0
15:46:55	19810070528	2301788160	17290665984	68502	17255747584	0	0
15:47:00	20039389184	2499231744	17319780352	72917	17284861952	0	0
15:47:05	20066586624	2499231744	17345888256	77361	17310969856	0	0
15:47:10	20315824128	2735316992	17357672448	79436	17322754048	0	0
15:47:15	20328165376	2735353856	17369468928	81501	17334550528	0	0
