ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
17:41:39	17481728	16502784	73728	0	0	0	0
17:41:44	684527616	539664384	69230592	0	0	0	0
17:41:49	1109741568	831078400	152727552	111	712704	0	0
17:41:54	1386913792	1089576960	152727552	111	712704	0	0
17:41:59	1576935424	1269547008	159367168	423	2387968	0	0
17:42:04	1803132928	1482354688	166588416	2186	9609216	0	0
17:42:09	1808920576	1482354688	166588416	2186	9609216	0	0
17:42:14	2072875008	1744457728	166715392	2217	10248192	0	0
17:42:19	2072711168	1744494592	167448576	2396	10469376	0	0
17:42:24	2073042944	1744494592	167628800	2440	10678272	0	0
17:42:29	2073710592	1744494592	167886848	2503	11071488	0	0
17:42:34	2073956352	1744531456	168710144	2665	11730944	0	0
17:42:39	2074816512	1744531456	169426944	2840	12447744	0	0
17:42:44	2074701824	1744531456	169652224	2895	12705792	0	0
17:42:49	2074890240	1744568320	169906176	2957	12926976	0	0
17:42:54	2075389952	1744625664	170156032	3018	13176832	0	0
17:42:59	2075459584	1744629760	170156032	3018	13176832	0	0
17:43:04	2077294592	1744666624	170577920	3121	13598720	0	0
17:43:09	2077605888	1744666624	170876928	3184	13934592	0	0
17:43:14	2078138368	1744666624	171167744	3255	14372864	0	0
17:43:19	2079395840	1744703488	171900928	3434	15282176	0	0
17:43:24	2285367296	1946345472	174661632	3732	17682432	0	0
17:43:29	2285654016	1946402816	174661632	3732	17682432	0	0
17:43:34	2547527680	2207784960	174661632	3732	17682432	0	0
17:43:39	2547302400	2207784960	174661632	3732	17682432	0	0
17:43:44	2547138560	2207784960	174661632	3732	17682432	0	0
17:43:49	2547159040	2207821824	174661632	3732	17682432	0	0
17:43:54	2547687424	2207821824	174796800	3765	17850368	0	0
17:43:59	2547924992	2207821824	174829568	3773	17850368	0	0
17:44:04	2547863552	2207920128	174927872	3797	17948672	0	0
17:44:10	2548363264	2207920128	175026176	3821	18264064	0	0
17:44:15	2549153792	2207920128	175517696	3941	18632704	0	0
17:44:20	2549182464	2207956992	175902720	4035	18923520	0	0
17:44:25	2549477376	2207956992	176295936	4131	19496960	0	0
17:44:30	2550706176	2207956992	177881088	4392	20901888	0	0
17:44:35	2552778752	2207993856	178376704	4513	22061056	0	0
17:44:40	2553511936	2208051200	179240960	4661	22261760	0	0
17:44:45	2750930944	2405408768	179650560	4761	22671360	0	0
17:44:50	3003817984	2656854016	179650560	4761	22671360	0	0
17:44:55	3003539456	2656854016	179650560	4761	22671360	0	0
17:45:00	3004010496	2656854016	179650560	4761	22671360	0	0
17:45:05	3002957824	2656890880	179650560	4761	22671360	0	0
17:45:10	3003301888	2656948224	179810304	4800	22863872	0	0
17:45:15	3003629568	2656948224	179843072	4808	22863872	0	0
17:45:20	3004485632	2656985088	179843072	4808	22863872	0	0
17:45:25	3004465152	2656985088	180006912	4848	23027712	0	0
17:45:30	3004252160	2656985088	180289536	4917	23396352	0	0
17:45:35	3004301312	2657021952	180707328	5019	23728128	0	0
17:45:40	3005685760	2657021952	181293056	5116	24514560	0	0
17:45:45	3204407296	2854424576	181866496	5256	24887296	0	0
17:45:50	3308969984	2959429632	181866496	5256	24887296	0	0
17:45:55	3455115264	3102605312	185180160	6065	28200960	0	0
17:46:00	3456856064	3101929472	188391424	6849	31412224	0	0
