ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
17:02:11	19333120	18681856	73728	0	0	0	0
17:02:16	558366720	416714752	34783232	0	0	0	0
17:02:21	913133568	719704064	35270656	119	487424	0	0
17:02:26	931774464	725491712	35270656	119	487424	0	0
17:02:31	1210331136	997662720	36536320	428	2441216	0	0
17:02:36	1221369856	997756928	45035520	2014	10252288	0	0
17:02:41	1428385792	1195200512	45694976	2175	10911744	0	0
17:02:46	1667538944	1431916544	45694976	2175	10911744	0	0
17:02:51	1672957952	1434226688	48529408	2867	13844480	0	0
17:02:56	1876107264	1631645696	52023296	3678	17240064	0	0
17:03:01	1876873216	1631645696	52023296	3678	17240064	0	0
17:03:06	2114863104	1868443648	52023296	3678	17240064	0	0
17:03:11	2115530752	1867767808	52686848	3777	18509824	0	0
17:03:16	2316206080	2065125376	55439360	4401	20656128	0	0
17:03:21	2319089664	2065162240	55439360	4401	20656128	0	0
17:03:26	2552373248	2301923328	55439360	4401	20656128	0	0
17:03:31	2555932672	2301308928	58609664	5077	23826432	0	0
17:03:36	2758332416	2498715648	62033920	5814	27250688	0	0
17:03:41	2878746624	2617434112	62033920	5814	27250688	0	0
17:03:46	2995847168	2734800896	62201856	5855	28098560	0	0
17:03:51	3000496128	2734837760	66981888	6808	32198656	0	0
