ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
19:29:28	81903616	16871424	62652416	688	62578688	0	0
19:29:33	607363072	416903168	99323904	691	64520192	0	0
19:29:38	960352256	719695872	99442688	710	64638976	0	0
19:29:43	1098690560	843812864	99442688	710	64638976	0	0
19:29:48	1257029632	997699584	99676160	767	64880640	0	0
19:29:53	1462484992	1195266048	100716544	1021	65912832	0	0
19:29:58	1467957248	1195945984	100716544	1021	65912832	0	0
19:30:03	1707655168	1434337280	100769792	1034	66109440	0	0
19:30:08	1709674496	1434374144	101355520	1177	67080192	0	0
19:30:13	1909755904	1631760384	102064128	1309	67260416	0	0
19:30:18	2149314560	1868521472	102064128	1309	67260416	0	0
19:30:23	2148184064	1867882496	102240256	1352	67584000	0	0
19:30:28	2346221568	2065276928	102936576	1460	68132864	0	0
19:30:33	2466357248	2183995392	102936576	1460	68132864	0	0
19:30:38	2585358336	2303209472	103034880	1484	68231168	0	0
19:30:43	2586763264	2303262720	104300544	1793	69521408	0	0
19:30:48	2783158272	2500706304	102535168	1897	69926912	0	0
19:30:53	3020165120	2737504256	102555648	1902	70021120	0	0
19:30:58	3021905920	2736873472	103325696	2090	71303168	0	0
