ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
19:26:57	21909504	19820544	614400	19	540672	0	0
19:27:02	10916757504	240562176	10593456128	24922	10588340224	0	0
19:27:07	32644075520	240590848	32211283968	27223	32206270464	0	0
19:27:12	35729600512	416976896	35128758272	28069	35096117248	0	0
19:27:17	36360691712	608763904	35566821376	32756	35535101952	0	0
19:27:22	37390352384	725835776	36479008768	38245	36446367744	0	0
19:27:27	37870514176	981561344	36703281152	40370	36670640128	0	0
19:27:32	38013464576	997740544	36830613504	41799	36797972480	0	0
19:27:37	38325702656	1195397120	36945117184	42712	36912476160	0	0
19:27:42	38518833152	1314078720	37016215552	43247	36985200640	0	0
19:27:47	38680203264	1431588864	37062569984	43610	37029928960	0	0
19:27:52	39205597184	1628979200	37389578240	45736	37356937216	0	0
19:27:57	39490813952	1628979200	37674795008	47492	37642153984	0	0
19:28:02	39974088704	1865101312	37920600064	48973	37887959040	0	0
19:28:07	40077787136	1865101312	38021095424	49554	37991735296	0	0
19:28:13	40683995136	2062491648	38432858112	52059	38400217088	0	0
19:28:18	41050923008	2181246976	38680383488	53490	38650748928	0	0
19:28:23	41184067584	2298613760	38695735296	53594	38663094272	0	0
19:28:28	41255292928	2298613760	38766567424	54016	38733926400	0	0
19:28:33	41955708928	2496090112	39269273600	56673	39236632576	0	0
19:28:38	42288693248	2732175360	39365926912	57189	39333285888	0	0
19:28:43	42361237504	2732175360	39437697024	57613	39405056000	0	0
