ts	current	anon	file	pgmajfault	io_read_bytes	events_high	events_oom
19:20:05	118407168	113963008	73728	0	0	0	0
19:20:10	3535609856	548925440	2888822784	40	2786979840	0	0
19:20:15	3982639104	844804096	2991120384	2814	2806493184	0	0
19:20:20	4013051904	852324352	2999635968	4463	2815008768	0	0
19:20:25	4470468608	1293570048	3009396736	5363	2819805184	0	0
19:20:30	4479504384	1293606912	3015041024	6255	2825449472	0	0
19:20:35	4721442816	1508642816	3035348992	10938	2845757440	0	0
19:20:40	4858658816	1627066368	3050790912	14647	2861199360	0	0
19:20:45	5003005952	1770274816	3051257856	14706	2861846528	0	0
19:20:50	5004173312	1770274816	3052036096	14896	2862444544	0	0
19:20:55	5004554240	1770274816	3052335104	14969	2862743552	0	0
19:21:00	5005828096	1770311680	3053441024	15136	2863849472	0	0
19:21:05	5006970880	1770311680	3053936640	15257	2864345088	0	0
19:21:10	5007912960	1770311680	3054428160	15314	2864971776	0	0
19:21:15	5007507456	1770348544	3055001600	15454	2865410048	0	0
19:21:20	5010542592	1770348544	3057225728	15530	2867728384	0	0
19:21:25	5010079744	1770348544	3057664000	15637	2868072448	0	0
19:21:30	5011140608	1770385408	3058110464	15693	2868699136	0	0
19:21:35	5012025344	1770385408	3058745344	15848	2869153792	0	0
19:21:40	5012066304	1770385408	3058839552	15871	2869248000	0	0
19:21:45	5012811776	1770422272	3059380224	16003	2869788672	0	0
19:21:50	5013413888	1770422272	3059519488	16037	2870231040	0	0
19:21:55	5013422080	1770479616	3059994624	16090	2870534144	0	0
19:22:00	5014552576	1770516480	3060408320	16191	2870956032	0	0
19:22:05	5014495232	1770516480	3060731904	16270	2871263232	0	0
19:22:10	5015478272	1770516480	3061919744	16376	2872541184	0	0
19:22:15	5016518656	1770553344	3062423552	16499	2872864768	0	0
19:22:20	5017096192	1770553344	3062673408	16560	2873155584	0	0
19:22:25	5016854528	1770553344	3062894592	16614	2873450496	0	0
19:22:30	5230002176	1967325184	3078856704	18229	2889265152	0	0
19:22:35	5338771456	2071527424	3081076736	18677	2891485184	0	0
19:22:40	5482213376	2214834176	3081076736	18677	2891485184	0	0
19:22:45	5481955328	2214871040	3081150464	18695	2891558912	0	0
19:22:50	5483446272	2214871040	3081945088	18783	2892353536	0	0
19:22:55	5483732992	2214871040	3082383360	18845	2892791808	0	0
19:23:00	5485359104	2214965248	3082498048	18873	2892906496	0	0
19:23:06	5484838912	2214965248	3082674176	18916	2893082624	0	0
19:23:11	5483929600	2214965248	3082768384	18939	2893176832	0	0
19:23:16	5486690304	2215002112	3084382208	19093	2894790656	0	0
19:23:21	5486833664	2215002112	3084853248	19145	2895261696	0	0
19:23:26	5487800320	2215002112	3085086720	19202	2895495168	0	0
19:23:31	5487095808	2215038976	3085295616	19253	2895704064	0	0
19:23:36	5486936064	2215096320	3085406208	19280	2895896576	0	0
19:23:41	5487996928	2215096320	3085946880	19363	2896355328	0	0
19:23:46	5489369088	2215133184	3086708736	19404	2897334272	0	0
19:23:51	5489963008	2215133184	3087405056	19574	2897813504	0	0
19:23:56	5489651712	2215133184	3087552512	19610	2898001920	0	0
19:24:01	5490655232	2215170048	3088285696	19726	2898694144	0	0
19:24:06	5691101184	2412584960	3091111936	20335	2901520384	0	0
19:24:11	5799968768	2518511616	3094028288	20746	2904449024	0	0
19:24:16	5943156736	2660765696	3094040576	20747	2904449024	0	0
19:24:21	5943934976	2660765696	3094114304	20765	2904522752	0	0
19:24:26	5943857152	2660765696	3094147072	20773	2904604672	0	0
19:24:31	5943398400	2660765696	3094376448	20829	2904784896	0	0
19:24:36	5943832576	2660765696	3094638592	20893	2905092096	0	0
19:24:41	5944963072	2660765696	3094867968	20949	2905452544	0	0
19:24:46	5944799232	2660769792	3095404544	21080	2905899008	0	0
19:24:51	5946114048	2660769792	3096047616	21191	2906505216	0	0
19:24:56	5946535936	2660769792	3096502272	21258	2906923008	0	0
19:25:01	5946142720	2660769792	3096662016	21297	2907164672	0	0
19:25:06	5946351616	2660769792	3096842240	21341	2907312128	0	0
19:25:11	5946667008	2660769792	3097067520	21396	2907549696	0	0
19:25:16	5947629568	2660790272	3097280512	21448	2907758592	0	0
19:25:21	5947867136	2660790272	3097464832	21493	2907947008	0	0
19:25:26	5948522496	2660790272	3097657344	21540	2908073984	0	0
19:25:31	5948329984	2660790272	3097870336	21592	2908291072	0	0
19:25:36	5948227584	2660790272	3098038272	21633	2908520448	0	0
19:25:41	5948506112	2660790272	3098411008	21724	2908913664	0	0
19:25:46	5948633088	2660790272	3098607616	21772	2909351936	0	0
19:25:51	5949095936	2660790272	3099402240	21840	2909863936	0	0
19:25:56	5949992960	2660790272	3099922432	21905	2910416896	0	0
19:26:01	6150144000	2858131456	3102916608	22636	2913325056	0	0
19:26:06	6403981312	3109625856	3103772672	22845	2914267136	0	0
19:26:11	6411386880	3109625856	3109957632	23759	2920366080	0	0
19:26:16	6412136448	3108950016	3113041920	24141	2923450368	0	0
